condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
mainline-neutral,disinfo-result,-0.988414237055713,0.16147490887448457,-0.03326307219715896,0.8747040049418305,0.2662065843427871,,,False,5.44,1766
mainline-neutral,intervention-clicks,,,,,,0.0,0.0,,0.0,1766
mainline-neutral,news-result,-1.2679742908291642,0.10240356589491562,-0.04265825077928309,0.9099929892681875,0.14292483241513576,,,False,16.19,1766
mainline-neutral,no-result,0.7030976918917133,0.2409974352350912,0.023648285491066456,1.0263092419094684,0.07706001451664246,,,False,45.92,1766
mainline-neutral,other-result,0.7679321610651954,0.2212637446137995,0.025829268254326854,1.038513287964956,0.10517128870040549,,,False,32.45,1766
mainline-refutation,disinfo-result,-1.8511370360500872,0.032074920574238,-0.06195245953776285,0.7730033632849757,0.2431279879084124,,,False,4.8,1811
mainline-refutation,intervention-clicks,,,,,,0.0,0.0,,0.0,1811
mainline-refutation,news-result,0.41664948831916965,0.3384674028979915,0.013927291307313738,1.0301070179590335,0.15426832987847883,,,False,18.33,1811
mainline-refutation,no-result,-1.3440605193294972,0.08946440879384898,-0.0449261395280669,0.9502116694275723,0.07347858593392298,,,False,42.52,1811
mainline-refutation,other-result,1.9770830485214697,0.024016121779184663,0.06610774956578336,1.0993097236797829,0.10831804954405144,,,False,34.35,1811
mainline-warning,disinfo-result,0.510836850513823,0.304732651539815,0.017083793396518,1.0673903211216644,0.30355770974534324,,,False,6.63,1809
mainline-warning,intervention-clicks,,,,,,0.0,0.0,,0.0,1809
mainline-warning,news-result,-0.6079051963531096,0.27162517648221707,-0.02032326557203923,0.9566979915238621,0.14678440866643905,,,False,17.03,1809
mainline-warning,no-result,1.0473006824837638,0.14748046071283416,0.03501678783595219,1.038975995443657,0.07710175239425743,,,False,46.49,1809
mainline-warning,other-result,-0.9041180233599001,0.18296641119118062,-0.030227012676880882,0.9554397991957031,0.09924732234834188,,,False,29.85,1809
news,disinfo-result,-0.3521269533523434,0.3623715277115269,-0.011674597331710335,0.9551288283908604,0.2781114657898215,,,False,5.94,1870
news,intervention-clicks,,,,,,0.026737967914438502,0.007311632552345109,,2.67,1870
news,news-result,1.3323483829475398,0.09137286760626173,0.04421576492626489,1.0967659791189204,0.1597778360942006,,,False,19.52,1870
news,no-result,-2.272873431028879,0.011516904159341812,-0.07538115943465273,0.9166464106303679,0.07145400847036598,,,False,41.02,1870
news,other-result,1.4730443463037504,0.07036953924615452,0.048868640965966215,1.0731837038612912,0.10585459915835549,,,False,33.53,1870
sidebar-neutral,disinfo-result,-0.9424141936814436,0.172990311585264,-0.03151726147744671,0.8810840707964601,0.2656273917572548,,,False,5.48,1808
sidebar-neutral,intervention-clicks,,,,,,0.0027654867256637168,0.0024207018253892066,,0.28,1808
sidebar-neutral,news-result,-0.4247757201449314,0.33550008944938703,-0.014202920869981095,0.9696586599241466,0.14814078795136743,,,False,17.26,1808
sidebar-neutral,no-result,1.2614616736025153,0.10357128007564798,0.04218416601631603,1.0469671828908556,0.07743095763222341,,,False,46.85,1808
sidebar-neutral,other-result,-0.5327345287520917,0.2971086803405064,-0.017812989988694516,0.9736713661604443,0.10042924385493335,,,False,30.42,1808
sidebar-refutation,disinfo-result,-0.15838029910404394,0.43707856843775705,-0.005296375732570913,0.9795240730492528,0.2858156970400966,,,False,6.09,1807
sidebar-refutation,intervention-clicks,,,,,,0.003320420586607637,0.002652475151581865,,0.33,1807
sidebar-refutation,news-result,0.7455788229557528,0.22796093972587128,0.024938325470816536,1.0541544786149104,0.15680884546143892,,,False,18.76,1807
sidebar-refutation,no-result,0.34737389825038745,0.36415522002830314,0.01161705542354352,1.012916939175932,0.07607767209506378,,,False,45.32,1807
sidebar-refutation,other-result,-0.9184413765664261,0.17919391852345257,-0.030714415799629302,0.9547259952505377,0.09923100356617176,,,False,29.83,1807
sidebar-warning,disinfo-result,0.7088263409632665,0.23921612472440223,0.023709300826779578,1.0940750791497058,0.3089495734362604,,,False,6.8,1809
sidebar-warning,intervention-clicks,,,,,,0.003869541182974019,0.0028610446424637416,,0.39,1809
sidebar-warning,news-result,1.1928058928962315,0.11647270084095118,0.039893873819664805,1.0871568085498435,0.1601185684752784,,,False,19.35,1809
sidebar-warning,no-result,-1.7168559537062682,0.04300274722421482,-0.05740548013293423,0.9364373419099787,0.07293079588123685,,,False,41.9,1809
sidebar-warning,other-result,0.45576231894178165,0.32428045157775576,0.01523820446902735,1.022674451731697,0.1035305558001598,,,False,31.95,1809
strong-downranking,disinfo-result,-1.6045796405842039,0.05429317245570564,-0.05928820907049914,0.7821969696969697,0.27500591643108185,,,False,4.86,1296
strong-downranking,news-result,0.7841823434035743,0.21646656199717051,0.028620060916649037,1.0622427983539096,0.17289629485164304,,,False,18.9,1296
strong-downranking,no-result,0.004028769905960761,0.4983927576943593,0.00014728851513279295,1.0001636737747848,0.08288916958394155,,,False,44.75,1296
strong-downranking,other-result,0.14065503596229187,0.44407123398042025,0.005141425614903161,1.0076351215591723,0.1126329906484882,,,False,31.48,1296
weak-downranking,disinfo-result,-0.7857843381534244,0.21599692180475039,-0.027250148616840553,0.8967701076630779,0.28029888879083864,,,False,5.57,1579
weak-downranking,news-result,0.7101688851936037,0.2387997066383567,0.024571092110311277,1.053349015350282,0.16244721175751375,,,False,18.75,1579
weak-downranking,no-result,-0.9781284738614329,0.16400539332353614,-0.033864819239447064,0.9624426660525458,0.07681686361676276,,,False,43.07,1579
