condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
strong-downranking,disinfo-result,-4.786912115170952,8.468347709733592e-07,-0.1338902899510776,0.575036795626577,0.14901414922327294,,,True,4.16,2378
weak-downranking,disinfo-result,-3.143518771452817,0.0008346485440395846,-0.08301390125410907,0.7235358312113496,0.1628036613701267,,,True,5.24,2749
mainline-neutral,disinfo-result,-0.8002237367087538,0.21179058974958787,-0.020372667948563183,0.9283076298701297,0.18559553730230205,,,False,6.72,3080
mainline-neutral,intervention-clicks,,,,,,0.0006493506493506494,0.0008996618448124105,,0.06,3080
mainline-neutral,news-result,1.4788470639355653,0.06959059700219794,0.037646065645949744,1.0736655546288574,0.1061019255129112,,,False,22.69,3080
mainline-neutral,no-result,-1.8491920845207168,0.03221504064926306,-0.04707376205387348,0.9445376965935538,0.058915015781597746,,,False,39.35,3080
mainline-neutral,other-result,1.0849322591756765,0.1389758295019894,0.027616322043012564,1.0424732764538591,0.08136851305403137,,,False,31.23,3080
mainline-refutation,disinfo-result,0.7857822188981421,0.21599754269467453,0.020049188765741688,1.0729473942969519,0.2060485921469486,,,False,7.77,3051
mainline-refutation,intervention-clicks,,,,,,0.0013110455588331695,0.0012839821396002317,,0.13,3051
mainline-refutation,news-result,-0.5664264325840512,0.2855519651602051,-0.014452686448081398,0.9722274844463689,0.09953397543618692,,,False,20.55,3051
mainline-refutation,no-result,-1.308953556263524,0.09527504170806378,-0.033399169274703544,0.9605961646577614,0.05961897576718167,,,False,40.02,3051
mainline-refutation,other-result,1.443629804377102,0.07442156825958113,0.03683405543733964,1.0567578776760551,0.08226804515605246,,,False,31.66,3051
mainline-warning,disinfo-result,0.8998538440073947,0.1840990178583497,0.0228757150313198,1.0834207553260167,0.20665530009508015,,,False,7.84,3098
mainline-warning,intervention-clicks,,,,,,0.0,0.0,,0.0,3098
mainline-warning,news-result,-0.33838840193224784,0.36753525654728914,-0.008600676315614453,0.9834380669782024,0.09988573760044694,,,False,20.79,3098
mainline-warning,no-result,-0.9982998070951961,0.15906700056733913,-0.025373931451829312,0.9700414842579687,0.05970023699202598,,,False,40.41,3098
mainline-warning,other-result,0.8499622864735964,0.19767302708107148,0.021603721463474113,1.033184230630751,0.08078962126430422,,,False,30.96,3098
