condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
strong-downranking,disinfo-result,-3.0951247257407473,0.00098365074930451,-0.16487145529028385,0.4385447394296952,0.3138122992272988,,,True,2.51,678
mainline-neutral,disinfo-result,0.6505451683916869,0.25767006768582046,0.031026751808020503,1.1297012461270552,0.5020147530764947,,,False,6.46,867
mainline-neutral,intervention-clicks,,,,,,0.0011534025374855825,0.002259364866658012,,0.12,867
mainline-neutral,news-result,0.3034639028745937,0.3807681762821453,0.01447189131195048,1.0288350634371395,0.20735319477745318,,,False,20.88,867
mainline-neutral,no-result,-1.4140461055207407,0.07867418284896588,-0.06746192832265097,0.916167246691862,0.11837340437432653,,,False,35.64,867
mainline-neutral,other-result,0.8448520779452122,0.1990967168140656,0.040292322847439443,1.0551311672949577,0.13990675997955138,,,False,37.02,867
mainline-refutation,disinfo-result,0.12892460424908478,0.4487086538820412,0.006173450363119004,1.0252166517251684,0.4718626343627723,,,False,5.86,853
mainline-refutation,intervention-clicks,,,,,,0.0011723329425556857,0.0022964252951928107,,0.12,853
mainline-refutation,news-result,1.011959989916036,0.15577859200525956,0.04845563654256435,1.0977181607974453,0.21733803755967074,,,False,22.27,853
mainline-refutation,no-result,-1.1028892336727025,0.1350376351227769,-0.0528321760617374,0.9342175944538854,0.12021501879353103,,,False,36.34,853
mainline-refutation,other-result,0.1887570363457315,0.42514162323179716,0.009039248587126014,1.0123113686331646,0.13714150896386212,,,False,35.52,853
mainline-warning,disinfo-result,0.6261911200705919,0.26559479548394116,0.030245093217070584,1.126343125342482,0.5085550694242014,,,False,6.44,823
mainline-warning,intervention-clicks,,,,,,0.001215066828675577,0.0023800836847789365,,0.12,823
mainline-warning,news-result,0.06251195958918188,0.47507756909637955,0.003021299826134194,1.0059947772265596,0.20733773184483106,,,False,20.41,823
mainline-warning,no-result,-1.1499389646811902,0.1250845054640951,-0.055605284360437324,0.9307902136346605,0.12121982977710377,,,False,36.21,823
mainline-warning,other-result,0.7968082238485058,0.21278120909079346,0.038506942017489054,1.0526748939242776,0.14163856724445822,,,False,36.94,823
news,disinfo-result,0.1349998963893969,0.4463059781253178,0.006466248420697596,1.0264199576544233,0.4724060007573645,,,False,5.87,852
news,intervention-clicks,,,,,,0.014084507042253521,0.007912740902285194,,1.41,852
news,news-result,-0.29906050995160943,0.3824469383145831,-0.014328263508470274,0.9717531709594583,0.20077685622904606,,,False,19.72,852
news,no-result,0.1285958422026966,0.4488387282165107,0.006160157937357358,1.007725507705213,0.12540735442776718,,,False,39.2,852
news,other-result,0.053159568517042365,0.47880238484432713,0.0025465292530852945,1.0034648787292444,0.13648696682160377,,,False,35.21,852
sidebar-neutral,disinfo-result,0.8224504600417538,0.205410285352138,0.040084578616269906,1.1689538362633831,0.5273920785731909,,,False,6.68,793
sidebar-neutral,intervention-clicks,,,,,,0.0037831021437578815,0.004272877709237718,,0.38,793
sidebar-neutral,news-result,-0.38226372680717474,0.35113287857601416,-0.018665527647510505,0.9632628036758096,0.20387521871365688,,,False,19.55,793
sidebar-neutral,no-result,0.5555467882502855,0.2892603582353843,0.027110824474362305,1.034076992124897,0.1297013265714444,,,False,40.23,793
sidebar-neutral,other-result,-0.6670560055787169,0.25236818015089413,-0.032569097479336895,0.9559363278527371,0.13546997974996322,,,False,33.54,793
sidebar-refutation,disinfo-result,1.1353240219737648,0.1281197903902911,0.05509449527537014,1.2353670092572346,0.5452439485939125,,,False,7.06,807
sidebar-refutation,intervention-clicks,,,,,,0.004956629491945477,0.004845443541340617,,0.5,807
sidebar-refutation,news-result,0.3309604809495776,0.37033716826396523,0.016074549267742655,1.0320469373643602,0.21194939088695053,,,False,20.94,807
sidebar-refutation,no-result,-0.048870046779268844,0.4805114297683408,-0.0023742490391973625,0.9970253080930903,0.12654179885701267,,,False,38.79,807
sidebar-refutation,other-result,-0.8158809389410913,0.2072841174638762,-0.03965390787059375,0.9464153512991357,0.13402393293393755,,,False,33.21,807
sidebar-warning,disinfo-result,0.1659523192815022,0.4340972367290401,0.007920776529797946,1.0324074074074074,0.47228247221478914,,,False,5.9,864
sidebar-warning,intervention-clicks,,,,,,0.0011574074074074073,0.0022672053383688143,,0.12,864
