condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
strong-downranking,disinfo-result,-4.045060045007007,2.6154857572291412e-05,-0.13233627084081873,0.475314974240973,0.21276501622195654,,,True,2.09,1819
mainline-neutral,disinfo-result,-0.4013423849890748,0.34408403093044004,-0.011911627070512076,0.9451820128479657,0.2996254548351841,,,False,4.15,2335
mainline-neutral,intervention-clicks,,,,,,0.0008565310492505353,0.0011865829706540704,,0.09,2335
mainline-neutral,news-result,0.14076518143465513,0.4440277251564647,0.004179266332169251,1.009881972060773,0.14819158637500807,,,False,15.37,2335
mainline-neutral,no-result,0.7813284403973971,0.21730467349658422,0.023196175953532627,1.0224924149542638,0.05870076417060832,,,False,52.68,2335
mainline-neutral,other-result,-0.7987104649163852,0.21222915865809222,-0.02370913714555245,0.962987639463626,0.09337132041058205,,,False,27.79,2335
mainline-refutation,disinfo-result,-1.9288171039325102,0.02687678585557063,-0.05728832203814077,0.7499779339076401,0.2557718697920762,,,False,3.3,2336
mainline-refutation,intervention-clicks,,,,,,0.0004280821917808219,0.0008388614873908917,,0.04,2336
mainline-refutation,news-result,0.294186826175852,0.3843075733330297,0.008734013566069065,1.0206970095401176,0.14927694277726533,,,False,15.54,2336
mainline-refutation,no-result,2.1831917384540604,0.014510846455184412,0.06481526461544718,1.0627707045698245,0.059804784708075154,,,False,54.75,2336
mainline-refutation,other-result,-1.846295144682921,0.03242468118067365,-0.054797521701197116,0.9151140566869529,0.09038499727689309,,,False,26.41,2336
mainline-warning,disinfo-result,0.49309441008395083,0.310972940208197,0.014608080605892027,1.0692362753912898,0.32606991833219157,,,False,4.7,2362
mainline-warning,intervention-clicks,,,,,,0.0012701100762066045,0.0014363518207297535,,0.13,2362
mainline-warning,news-result,-0.7079145862794829,0.2394991505243793,-0.020952166266296368,0.9510629611709206,0.14173997862321797,,,False,14.48,2362
mainline-warning,no-result,-0.45352802869565534,0.3250842826018945,-0.0134270063451567,0.9869723420591497,0.05753615947370527,,,False,50.85,2362
mainline-warning,other-result,0.8240511496666255,0.20495524763084416,0.024401815568351637,1.0385233491559849,0.0977371268370566,,,False,29.97,2362
news,disinfo-result,-1.1012206743271369,0.1354003129082083,-0.03323365195037481,0.8507575650735,0.283979065030314,,,False,3.74,2193
news,intervention-clicks,,,,,,0.013223894208846329,0.004781077141723562,,1.32,2193
news,news-result,-0.29037424637092674,0.3857649718826788,-0.008755384307088332,0.9794272360106835,0.14753978897158415,,,False,14.91,2193
news,no-result,0.06695509141191379,0.4733087273951344,0.00201878273015077,1.0019583378953023,0.05905807347760228,,,False,51.62,2193
news,other-result,0.6327271130104946,0.26345593055825867,0.01907774235559856,1.0300821580868482,0.09905723719788218,,,False,29.73,2193
sidebar-neutral,disinfo-result,-0.4887526452107445,0.3125084137563756,-0.014573577447780095,0.9331336247998415,0.2985497253585362,,,False,4.1,2292
sidebar-neutral,intervention-clicks,,,,,,0.003926701570680628,0.002560403203369431,,0.39,2292
sidebar-neutral,news-result,0.2862677938281925,0.3873365115910875,0.008538087326924071,1.02023082356852,0.1499634032104109,,,False,15.53,2292
sidebar-neutral,no-result,0.8554656365183637,0.19614671018133834,0.02551287542543612,1.024737490809684,0.059030805758852,,,False,52.79,2292
sidebar-neutral,other-result,-0.9601339075666383,0.16849391255137214,-0.02863187053520222,0.9553562866951049,0.09335569901420193,,,False,27.57,2292
sidebar-refutation,disinfo-result,-0.6221028882644217,0.26693710796083014,-0.018412672328198154,0.9158876463393324,0.29219965271350956,,,False,4.03,2360
sidebar-refutation,intervention-clicks,,,,,,0.0038135593220338985,0.0024867700957139434,,0.38,2360
sidebar-refutation,news-result,-0.5742009615049845,0.28291590937763467,-0.016998902953313633,0.9602186743341405,0.14271069859838614,,,False,14.62,2360
sidebar-refutation,no-result,0.20553404226077993,0.41857745195426055,0.006086130944560786,1.0059035075950689,0.05808386166444435,,,False,51.82,2360
sidebar-refutation,other-result,0.4984671834171608,0.3090773969352112,0.014762178134567705,1.0232545299736582,0.09682329088038188,,,False,29.53,2360
sidebar-warning,disinfo-result,-0.9452639314914817,0.17226207380626202,-0.028346447793945684,0.8719793446900783,0.2867237269509677,,,False,3.83,2244
sidebar-warning,intervention-clicks,,,,,,0.004456327985739751,0.0027558995054521645,,0.45,2244
sidebar-warning,news-result,0.3854042797449441,0.34996895612460033,0.011554781687751925,1.0274183537051185,0.1515256187838394,,,False,15.64,2244
sidebar-warning,no-result,0.5634585953865693,0.2865613233427877,0.016892044405047102,1.0163818065804717,0.05911048413097508,,,False,52.36,2244
sidebar-warning,other-result,-0.5162518356640377,0.30283926544775697,-0.015476465937690698,0.9757917152875135,0.09514646970436136,,,False,28.16,2244
strong-downranking,news-result,1.0511817811584663,0.14658755454069172,0.03324429471051071,1.0796961307887643,0.16589399848770547,,,False,16.44,1819
