condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
mainline-neutral,disinfo-result,-1.3681532108521497,0.08563206189962136,-0.07145597233797302,0.7301265985476512,0.41806953809995295,,,False,4.18,741
mainline-neutral,intervention-clicks,,,,,,0.001349527665317139,0.0026432888210344806,,0.13,741
mainline-neutral,news-result,0.3762392865550674,0.35336950549283885,0.019601142049555875,1.0360299930527275,0.2098152543466716,,,False,23.89,741
mainline-neutral,no-result,-0.7004442401081512,0.24182495807234994,-0.036490452589367006,0.9552105216782374,0.13070498000048292,,,False,37.92,741
mainline-neutral,other-result,1.0198968893473292,0.15388868248886034,0.053142099730157044,1.0791313949208687,0.170205396964195,,,False,34.01,741
mainline-refutation,disinfo-result,0.10527605508331273,0.45807838132618994,0.005497340054420596,1.022414687946023,0.5223622508901362,,,False,5.86,734
mainline-refutation,intervention-clicks,,,,,,0.0013623978201634877,0.0026684801022818574,,0.14,734
mainline-refutation,news-result,-0.5142936506752072,0.3035233500836194,-0.026856760658807377,0.9513648162778323,0.19912572697455433,,,False,21.93,734
mainline-refutation,no-result,-1.040675036386114,0.14901319644232014,-0.05434891377064344,0.9334344597694691,0.1293834110048263,,,False,37.06,734
mainline-refutation,other-result,1.476930411463391,0.06984714596302477,0.07714845914877877,1.1153614777592982,0.1741317000808391,,,False,35.15,734
mainline-warning,disinfo-result,0.7442400024387481,0.2283656456585128,0.038877614847635356,1.1634920634920636,0.5709295888776165,,,False,6.67,735
mainline-warning,intervention-clicks,,,,,,0.0,0.0,,0.0,735
mainline-warning,news-result,0.8867017188171775,0.18761975636308725,0.04629509264362719,1.085794791289297,0.21680455411372712,,,False,25.03,735
mainline-warning,no-result,-1.8204006517580493,0.03434900663015128,-0.09506571080238113,0.8841854267480187,0.12552725296977751,,,False,35.1,735
mainline-warning,other-result,0.6891433307730336,0.2453665371923417,0.035976123022271045,1.0534028329946699,0.16804359615934938,,,False,33.2,735
news,disinfo-result,-1.5104018291067625,0.06547046109737764,-0.07695790377455214,0.7110229276895944,0.39835947666767313,,,False,4.07,810
news,intervention-clicks,,,,,,0.028395061728395062,0.011438783156988316,,2.84,810
news,news-result,-1.888007860119405,0.02951244762342009,-0.09617719099877775,0.829972970998612,0.17742448776348374,,,False,19.14,810
news,no-result,0.26842041281222667,0.3941878643480001,0.01368478400648665,1.0168893979890543,0.13232998187626022,,,False,40.37,810
news,other-result,2.0300234361324363,0.021177078555319473,0.10364039434677386,1.1556571001015448,0.1739924705345346,,,False,36.42,810
sidebar-neutral,disinfo-result,-0.17776215380619154,0.42945488539512233,-0.009045060580860576,0.9636283961437336,0.4862231655970267,,,False,5.52,815
sidebar-neutral,intervention-clicks,,,,,,0.001226993865030675,0.0024034321189385166,,0.12,815
sidebar-neutral,news-result,-1.2822310515482576,0.09988080325453852,-0.06522153090091809,0.8834210621846298,0.18434609701165983,,,False,20.37,815
sidebar-neutral,no-result,0.8067194979864417,0.20991405402597385,0.04107713314859285,1.0508295912128687,0.1346949061034659,,,False,41.72,815
sidebar-neutral,other-result,0.3699550548304651,0.35570798958604744,0.01883634950521551,1.0278702892199827,0.16121553560309643,,,False,32.39,815
sidebar-refutation,disinfo-result,0.040888147103070885,0.4836925333939218,0.0021670808252659546,1.0088081475364712,0.5271333937983562,,,False,5.78,692
sidebar-refutation,intervention-clicks,,,,,,0.010115606936416185,0.007455748252958432,,1.01,692
sidebar-refutation,news-result,-1.3609878914006568,0.0867587580187319,-0.0722267005375482,0.8712162670588637,0.19176039188604,,,False,20.09,692
sidebar-refutation,no-result,0.6263426217737608,0.26554511792820124,0.033196814704966826,1.0410484079216573,0.13963094808238963,,,False,41.33,692
sidebar-refutation,other-result,0.5207961426906119,0.30125439523287345,0.027600952387192512,1.04090658859445,0.16950501131077034,,,False,32.8,692
sidebar-warning,disinfo-result,-0.26017637597473553,0.3973638630781311,-0.013654478974542139,0.9453373015873017,0.4985432664228606,,,False,5.42,720
sidebar-warning,intervention-clicks,,,,,,0.001388888888888889,0.0027203311332671927,,0.14,720
sidebar-warning,news-result,0.25017260306470696,0.4012269356553455,0.01312638310993619,1.0240795529257067,0.20986316259790883,,,False,23.61,720
sidebar-warning,no-result,0.17085177172367716,0.43217015977574935,0.008964624686575995,1.0110586101565484,0.1359564645689031,,,False,40.14,720
sidebar-warning,other-result,-0.2801841369335875,0.38966811817916835,-0.014701971360232324,0.9783910533910535,0.16156357800254073,,,False,30.83,720
strong-downranking,disinfo-result,-2.429465346221115,0.0075605551851011255,-0.13701660233914825,0.5183875530410184,0.37257548357923187,,,False,2.97,606
strong-downranking,news-result,-2.1225001256505363,0.016897881077022392,-0.11717096928244841,0.7944519304001406,0.18949183453265506,,,False,18.32,606
strong-downranking,no-result,1.3074581688688838,0.09552857643987411,0.07175840661031696,1.089029521508852,0.1482249908700346,,,False,43.23,606
strong-downranking,other-result,1.5319462354979627,0.06276785135214713,0.08402548421895673,1.125791150543626,0.18400692249578232,,,False,35.48,606
weak-downranking,disinfo-result,-0.9969848710348346,0.15938592674826135,-0.053737540806988726,0.7932900432900434,0.45904037532671227,,,False,4.55,660
weak-downranking,news-result,-0.07847974349222124,0.4687232214351096,-0.0042115376996072484,0.9923166577012731,0.2108161767659532,,,False,22.88,660
weak-downranking,no-result,0.9751668900836576,0.16473874148221823,0.05232094011248489,1.0648078725398313,0.14314288022028143,,,False,42.27,660
weak-downranking,other-result,-0.4883408424056867,0.31265421831818896,-0.026212988838217655,0.9615636888364162,0.16391889317583208,,,False,30.3,660
