condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
strong-downranking,disinfo-result,-3.5431488751743476,0.00019768971595746088,-0.08724678658666912,0.7068561134356113,0.1508723209278,,,True,4.99,2868
mainline-neutral,disinfo-result,-0.018241805003950604,0.49272297630324213,-0.00039918224203217,0.9985514664066942,0.16829157499943703,,,False,7.04,4103
mainline-neutral,intervention-clicks,,,,,,0.00024372410431391665,0.0004776410274975984,,0.02,4103
mainline-neutral,news-result,0.0262625762554018,0.4895239522149911,0.0005746939059628753,1.001082812758631,0.08420975219819593,,,False,22.01,4103
mainline-neutral,no-result,0.6314295079794712,0.2638798635862467,0.013817182713697251,1.01674028753796,0.053765311571775554,,,False,41.26,4103
mainline-neutral,other-result,-0.6907801051906036,0.24485186993597607,-0.01511724807014514,0.9771891593329354,0.06612940276892498,,,False,29.69,4103
mainline-refutation,disinfo-result,-0.959605054290199,0.1686270121605149,-0.02086552971236466,0.9255895853118074,0.15841406833005622,,,False,6.53,4212
mainline-refutation,intervention-clicks,,,,,,0.000949667616334283,0.0009302322434345724,,0.09,4212
mainline-refutation,news-result,-0.8755428685808797,0.1906392978204583,-0.01903394341872,0.9643770535927398,0.08158610379806408,,,False,21.2,4212
mainline-refutation,no-result,1.5441346066246913,0.061277863358778384,0.03356779836144774,1.0407398328893114,0.054118673473773304,,,False,42.24,4212
mainline-refutation,other-result,-0.3459703622369366,0.36468249420194854,-0.007520825445115342,0.9886328388005374,0.06615079463235252,,,False,30.03,4212
mainline-warning,disinfo-result,-0.9008512289904707,0.1838337126346099,-0.01957541159182563,0.9301129006789831,0.15884767416912837,,,False,6.56,4222
mainline-warning,intervention-clicks,,,,,,0.0004737091425864519,0.0006563718562543595,,0.05,4222
mainline-warning,news-result,-0.18940375521675407,0.4248881907507822,-0.004114855457967415,0.9922592886256608,0.08308881356871145,,,False,21.81,4222
mainline-warning,no-result,-0.6318050343775105,0.2637571417814163,-0.013726256556303662,0.983413730319526,0.05237514367961171,,,False,39.91,4222
mainline-warning,other-result,1.3293997857394568,0.09185805424814908,0.028882311643489977,1.0439873037150236,0.06841666004104274,,,False,31.71,4222
news,disinfo-result,0.21090203410212535,0.41648185842180463,0.0045886453397069316,1.0167206734969423,0.1694038200587129,,,False,7.17,4197
news,intervention-clicks,,,,,,0.045746962115797,0.006321199427529942,,4.57,4197
news,news-result,-0.3363479334505721,0.36830425378783205,-0.007318287103111776,0.9862481349678086,0.0828840390867357,,,False,21.68,4197
news,no-result,-2.608084356923723,0.004552525647917416,-0.056756778127487584,0.931735298429519,0.05088802357449529,,,False,37.81,4197
news,other-result,2.915008698595228,0.001778393144628021,0.0634339052478059,1.0972652218782248,0.07071609079562191,,,False,33.33,4197
sidebar-neutral,disinfo-result,0.05396832366856936,0.4784802007489345,0.0011869015695079588,1.0043127019637086,0.16989435749051585,,,False,7.08,4023
sidebar-neutral,intervention-clicks,,,,,,0.0017399950285856326,0.0012878844353033131,,0.17,4023
sidebar-neutral,news-result,-0.8909532710089365,0.18647711988919558,-0.019599321427088978,0.9633261154777143,0.08254728475233442,,,False,21.18,4023
sidebar-neutral,no-result,0.16890808995420012,0.4329344678842645,0.0037147877471219726,1.004496451314559,0.05367661136188073,,,False,40.77,4023
sidebar-neutral,other-result,0.5850885744876156,0.27924408046959837,0.012867114806404123,1.0195320406116841,0.06824734901126717,,,False,30.97,4023
sidebar-refutation,disinfo-result,1.3961262339328833,0.08133824257390443,0.03043938757085951,1.1132973102785784,0.1811484215672905,,,False,7.85,4164
sidebar-refutation,intervention-clicks,,,,,,0.0016810758885686839,0.0012443112348065521,,0.17,4164
sidebar-refutation,news-result,-1.8726510211266152,0.03055829546860611,-0.04083890191369932,0.9241520134383332,0.079582039841811,,,False,20.32,4164
sidebar-refutation,no-result,0.0026689397527966834,0.49893524835284553,5.818544453073393e-05,1.0000704042707842,0.05306481225363524,,,False,40.59,4164
sidebar-refutation,other-result,0.8598182516968507,0.19494461831534182,0.01874450753993795,1.0284885112849933,0.06801241846810568,,,False,31.24,4164
sidebar-warning,disinfo-result,-0.3947716563695296,0.3465057072257539,-0.00869164714648385,0.9686799667497922,0.16580705175653743,,,False,6.83,4010
sidebar-warning,intervention-clicks,,,,,,0.002743142144638404,0.0016188684420067045,,0.27,4010
sidebar-warning,news-result,0.664918969471728,0.25305116101750025,0.014634049189391707,1.0277029351754303,0.08620175625126314,,,False,22.59,4010
sidebar-warning,no-result,-1.5366019294815412,0.062195409895181686,-0.033828205768979824,0.9592087278905864,0.052366015335767346,,,False,38.93,4010
sidebar-warning,other-result,1.244972395778697,0.10657094863761485,0.027400425248429894,1.0417178802220455,0.06922497092755675,,,False,31.65,4010
strong-downranking,news-result,1.4663171832147632,0.07128094817948327,0.03535379596595278,1.067381543716764,0.09705554318308773,,,False,23.47,2868
strong-downranking,no-result,-0.8808598979061896,0.18919682754567435,-0.021292696451413518,0.9742905695321856,0.05823883192768886,,,False,39.54,2868
strong-downranking,other-result,1.4580221944781813,0.07241721275650692,0.035182306883189796,1.053650077075534,0.07652235072589364,,,False,32.01,2868
weak-downranking,disinfo-result,-1.6302669982681355,0.05152253963239628,-0.037567456500297136,0.8679591836734694,0.16136711408418802,,,False,6.12,3430
weak-downranking,news-result,1.0032559718027696,0.15786868668152043,0.023006514675752876,1.0436728457616813,0.09085087284830196,,,False,22.94,3430
weak-downranking,no-result,0.07757586080746964,0.4690827223932903,0.0017802845667960199,1.0021544953025077,0.055997475942537234,,,False,40.67,3430
weak-downranking,other-result,-0.11011875308709293,0.456157597895245,-0.0025273028871581893,0.9961760644107266,0.07030818048309262,,,False,30.26,3430
