condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
strong-downranking,disinfo-result,-3.14303042768886,0.0008360422878888052,-0.16125308417951784,0.4308755760368664,0.31087232796173797,,,True,2.28,744
mainline-neutral,disinfo-result,-0.4998476133581877,0.30859119082256314,-0.023301993440174917,0.9038281979458449,0.4400758122018582,,,False,4.79,918
mainline-neutral,intervention-clicks,,,,,,0.0010893246187363835,0.0021339130402955268,,0.11,918
mainline-neutral,news-result,-0.025206037903804452,0.4899453104684024,-0.0011746087911445047,0.9966679482250417,0.29533392065866726,,,False,11.0,918
mainline-neutral,no-result,0.40509897486159446,0.3427023799964517,0.018878097442901698,1.015821334683935,0.08015800442276766,,,False,59.59,918
mainline-neutral,other-result,-0.1894281489933662,0.42487863206441623,-0.00882751558588768,0.9847494553376906,0.16972860495882258,,,False,24.62,918
mainline-refutation,disinfo-result,-0.2871367793344283,0.38700379575392974,-0.013455234941249838,0.9439059272207214,0.455994068321811,,,False,5.01,899
mainline-refutation,intervention-clicks,,,,,,0.0,0.0,,0.0,899
mainline-refutation,news-result,0.43106873210430446,0.3332091975715832,0.02019254213922772,1.058038343257214,0.3094394528621056,,,False,11.68,899
mainline-refutation,no-result,0.22511877843545058,0.4109434364071034,0.010546227328250835,1.0088454165965464,0.08038928483861763,,,False,59.18,899
mainline-refutation,other-result,-0.4274258858925533,0.33453457820940646,-0.020025731934531166,0.9655172413793104,0.1685970953414896,,,False,24.14,899
mainline-warning,disinfo-result,-1.5213310644676712,0.06408838923086546,-0.07174365034288338,0.7187700192184496,0.38362184497245844,,,False,3.81,892
mainline-warning,intervention-clicks,,,,,,0.0011210762331838565,0.002196077395963944,,0.11,892
mainline-warning,news-result,0.7119252516351712,0.23825553219214823,0.03341396278115827,1.096808230018465,0.317869185492649,,,False,12.11,892
mainline-warning,no-result,0.7185512317678799,0.2362087354472978,0.03373223081620025,1.0282296096503567,0.0811043291733875,,,False,60.31,892
mainline-warning,other-result,-0.6117402186010635,0.2703548239445077,-0.02872122409360678,0.9506726457399103,0.16733298485293668,,,False,23.77,892
news,disinfo-result,-1.4206463419624242,0.07770979948992451,-0.06419421250332136,0.7462768891340319,0.3729036329316182,,,False,3.96,1036
news,intervention-clicks,,,,,,0.01447876447876448,0.007274027503511976,,1.45,1036
news,news-result,0.043262432825104905,0.48274616871549714,0.001957733799266781,1.005564387917329,0.28741556790548994,,,False,11.1,1036
news,no-result,-0.9794168303351569,0.16368703226422654,-0.0443303939753108,0.9626508427246436,0.07610201594656374,,,False,56.47,1036
news,other-result,1.733082339034417,0.04154051746596521,0.07854997192761348,1.138996138996139,0.18116191615199395,,,False,28.47,1036
sidebar-neutral,disinfo-result,-1.9118318373857859,0.02794888337909507,-0.08953835325777104,0.6559006211180124,0.358479620708528,,,False,3.48,920
sidebar-neutral,intervention-clicks,,,,,,0.0,0.0,,0.0,920
sidebar-neutral,news-result,-0.11645302922191553,0.45364675499725404,-0.005423848766224482,0.9846547314578006,0.292730837102836,,,False,10.87,920
sidebar-neutral,no-result,1.351480244771518,0.0882708219927052,0.06295750540536682,1.052526873094818,0.08116210038663763,,,False,61.74,920
sidebar-neutral,other-result,-0.5429485793892543,0.2935826034357639,-0.02528949604479558,0.9565217391304348,0.16652355807470087,,,False,23.91,920
sidebar-refutation,disinfo-result,-0.5969110048531668,0.27528339975941063,-0.02802042283180972,0.8849162011173184,0.43755852086773683,,,False,4.69,895
sidebar-refutation,intervention-clicks,,,,,,0.0022346368715083797,0.00309358637030763,,0.22,895
sidebar-refutation,news-result,0.6126851668094883,0.2700422661566979,0.028732034438097354,1.0830101873151496,0.3148213327412117,,,False,11.96,895
sidebar-refutation,no-result,0.33964835292318935,0.3670606800691898,0.015929918834051593,1.0133542229277044,0.08061219465519076,,,False,59.44,895
sidebar-refutation,other-result,-0.5403461498637658,0.2944791686684838,-0.025346440856681918,0.9564245810055866,0.16780739009691092,,,False,23.91,895
sidebar-warning,disinfo-result,-0.9608152722994647,0.16832252909287915,-0.0439774778618256,0.8223703274413213,0.4039800772210095,,,False,4.36,986
sidebar-warning,intervention-clicks,,,,,,0.002028397565922921,0.002808363021944465,,0.2,986
sidebar-warning,news-result,1.4345133696054742,0.07571290829005228,0.06582339809596915,1.1943682138169671,0.3288802711482881,,,False,13.18,986
sidebar-warning,no-result,-0.778822756340635,0.21804206535705273,-0.03566523667806165,0.9699707341901006,0.07731729182399583,,,False,56.9,986
sidebar-warning,other-result,0.2802795098449123,0.38963153490599645,0.01283485327269318,1.0223123732251522,0.17061195321332434,,,False,25.56,986
strong-downranking,news-result,0.8400803015622524,0.20043168197373462,0.04128594935944341,1.1201771030993044,0.3395471381657713,,,False,12.37,744
strong-downranking,no-result,0.1987687452219382,0.421221822911089,0.009791900843330703,1.0082133079395312,0.0846358253383821,,,False,59.14,744
strong-downranking,other-result,0.5631504726558761,0.28666621244734314,0.027718079890989955,1.0483870967741935,0.18726577006040634,,,False,26.21,744
weak-downranking,disinfo-result,-2.058810086725608,0.019756217511070928,-0.09906689547523834,0.6233766233766234,0.359045478590335,,,False,3.31,847
weak-downranking,news-result,1.1131673620408016,0.13281827861429996,0.0529132885445911,1.1550802139037433,0.3340869830687052,,,False,12.75,847
weak-downranking,no-result,0.008400187815693985,0.4966488493283473,0.0003995961114617863,1.0003354579000336,0.0814287433420291,,,False,58.68,847
weak-downranking,other-result,0.12874616801732253,0.44877925129353924,0.0061239847098857325,1.010625737898465,0.1764216104241858,,,False,25.27,847
