condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
mainline-refutation,news-result,4.4466380444059945,4.361231157212764e-06,0.1603434429675975,1.478013621863954,0.2812073580224148,,,True,17.44,1657
mainline-refutation,no-result,-3.7190090838064442,0.00010000292996814597,-0.13295418281924487,0.8507938636685368,0.07564828297567427,,,True,37.18,1657
sidebar-neutral,news-result,4.245717905159789,1.089473154314291e-05,0.15706439477858358,1.4674841106873961,0.2870456422908527,,,True,17.32,1461
sidebar-neutral,no-result,-3.4555739145683195,0.0002745613049596196,-0.1274852233549124,0.8568469507609365,0.0787536526215955,,,True,37.44,1461
strong-downranking,news-result,3.40121478181999,0.00033543547559344855,0.13122349022237767,1.3855562109236759,0.28767787225619923,,,True,16.35,1211
mainline-neutral,disinfo-result,0.4593192535502568,0.32300246177947833,0.016836994180330855,1.1184735061520892,0.6855306049843459,,,False,2.34,1497
mainline-neutral,intervention-clicks,,,,,,0.0,0.0,,0.0,1497
mainline-neutral,news-result,-0.8435345284109904,0.19946478166804738,-0.030909053677522613,0.9170569710850272,0.204460539107437,,,False,10.82,1497
mainline-neutral,no-result,-0.7039483397513897,0.24073247298014033,-0.025791494161104378,0.9707738522312114,0.08358287573787393,,,False,42.42,1497
mainline-neutral,other-result,1.1058348706687517,0.1343989994464284,0.0405185322031385,1.0473464151408276,0.08952741474247339,,,False,44.42,1497
mainline-refutation,disinfo-result,-1.092254970611993,0.1373605233198022,-0.03899103168333096,0.7506375688671716,0.507538555756093,,,False,1.57,1657
mainline-refutation,intervention-clicks,,,,,,0.0,0.0,,0.0,1657
mainline-refutation,other-result,0.7907984304433774,0.21453081299496568,0.028272307711205924,1.0330102192078123,0.08666453356344084,,,False,43.81,1657
mainline-warning,disinfo-result,0.4570947846261457,0.3238014593843084,0.01699685199828943,1.1196293754289635,0.6984598242663087,,,False,2.34,1410
mainline-warning,intervention-clicks,,,,,,0.0014184397163120568,0.0019644624308463995,,0.14,1410
mainline-warning,news-result,1.3001491888256094,0.09677492078578309,0.04834952000931958,1.1359148936170214,0.24079420626328285,,,False,13.4,1410
mainline-warning,no-result,-2.130209442208489,0.016577162935833112,-0.07927060591947477,0.9105627790911479,0.08214972814255495,,,False,39.79,1410
mainline-warning,other-result,1.1141616487341772,0.1326049224823691,0.04144239976862418,1.0484287792172649,0.09094175499768431,,,False,44.47,1410
news,disinfo-result,-0.19435391707622435,0.4229493853426053,-0.007169178890986838,0.9515244037346785,0.6191027131703951,,,False,1.99,1458
news,intervention-clicks,,,,,,0.02263374485596708,0.007634563075085983,,2.26,1458
news,news-result,1.6123220893348975,0.053445934469131484,0.05948813993873858,1.1682657260435039,0.24348802502912692,,,False,13.79,1458
news,no-result,-0.1528853497315697,0.4392443446517048,-0.005638531395277591,0.9936017121373775,0.08522422698531096,,,False,43.42,1458
news,other-result,-0.8827022718616387,0.18869857717317862,-0.03255693321260633,0.9621658695732771,0.08605849289100109,,,False,40.81,1458
sidebar-neutral,disinfo-result,0.5593968897442065,0.28794544178803105,0.020626875532710365,1.1460334282749332,0.7023002736912591,,,False,2.4,1461
sidebar-neutral,intervention-clicks,,,,,,0.0006844626967830253,0.0013410876877056844,,0.07,1461
sidebar-neutral,other-result,0.23771460798568012,0.4060512264353602,0.008762508514614575,1.010216884356273,0.08831702379923367,,,False,42.85,1461
sidebar-refutation,disinfo-result,0.007443407281242532,0.49703053754546045,0.0002713300541909436,1.0018577942915048,0.6314337503627683,,,False,2.09,1528
sidebar-refutation,intervention-clicks,,,,,,0.001963350785340314,0.0022195584650583603,,0.2,1528
sidebar-refutation,news-result,2.862916287399921,0.0020988072471899155,0.10465577959130223,1.3033096484667166,0.2604625307557542,,,False,15.38,1528
sidebar-refutation,no-result,-2.282387699099326,0.011233230463674637,-0.08321523111268703,0.9061459747269085,0.08009176306720023,,,False,39.59,1528
sidebar-refutation,other-result,0.28725742720283853,0.38695760884033026,0.010471322590217325,1.0122108557587461,0.08739965690088747,,,False,42.93,1528
sidebar-warning,disinfo-result,-0.3054351214865625,0.38001738793620143,-0.011185714080218845,0.9248817204301075,0.6018802007481957,,,False,1.93,1500
sidebar-warning,intervention-clicks,,,,,,0.004666666666666667,0.0034490390116239207,,0.47,1500
sidebar-warning,news-result,2.103500970332965,0.017711000279050593,0.07713510942005797,1.2202971428571427,0.24941517815580072,,,False,14.4,1500
sidebar-warning,no-result,-1.1199931836384474,0.13135833340461467,-0.041015756921410684,0.9535751028806585,0.08273897446647838,,,False,41.67,1500
sidebar-warning,other-result,-0.22892254004170146,0.40946456064541603,-0.00838298535192128,0.9902384737678855,0.08675913107902189,,,False,42.0,1500
strong-downranking,disinfo-result,-2.667054267639538,0.0038259657544048586,-0.10818422018599166,0.3950347619935537,0.40745497564963806,,,False,0.83,1211
strong-downranking,no-result,-2.167520998100931,0.015097575177526412,-0.08403634636914137,0.9052270340805986,0.08571987091353706,,,False,39.55,1211
strong-downranking,other-result,0.4466823607824905,0.3275522097755563,0.017298389642784295,1.0201819831197594,0.09341391649836006,,,False,43.27,1211
weak-downranking,disinfo-result,-1.4332699218676022,0.07589035709475156,-0.05418690311412189,0.662972635937978,0.5050351334882046,,,False,1.39,1371
weak-downranking,news-result,0.49068562682972955,0.311824406926714,0.018377642872660083,1.0507867041783892,0.22993129548829416,,,False,12.4,1371
weak-downranking,no-result,-2.332580132883477,0.00983509633089974,-0.08744844331153123,0.9014101628981279,0.08239185424018625,,,False,39.39,1371
weak-downranking,other-result,2.3699959083998534,0.00889414105660502,0.0888076711484691,1.1040483139852428,0.09416308194622203,,,False,46.83,1371
