condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
mainline-neutral,disinfo-result,-0.3699672838880368,0.3557034336057485,-0.024074442617168623,0.7816283924843422,2.1112329563704577,,,False,0.84,479
mainline-neutral,intervention-clicks,,,,,,0.0,0.0,,0.0,479
mainline-neutral,news-result,-1.2905152972289227,0.09843590202274444,-0.08397340545672427,0.7816283924843423,0.35609316644860045,,,False,9.19,479
mainline-neutral,no-result,0.6593451215177051,0.25483708687417383,0.042859105732198755,1.0488763355028858,0.15995031547983096,,,False,45.72,479
mainline-neutral,other-result,0.20743481074984774,0.4178351493631338,0.01348259673145824,1.0153506078840722,0.15721092935587255,,,False,44.26,479
mainline-refutation,disinfo-result,0.28556647729046664,0.38760509096245377,0.01863984476608127,1.1873150105708246,2.676417126956423,,,False,1.27,473
mainline-refutation,intervention-clicks,,,,,,0.0,0.0,,0.0,473
mainline-refutation,news-result,-0.366452000406683,0.3570139116926634,-0.023893572461958446,0.9354603113588315,0.4012428079692635,,,False,10.99,473
mainline-refutation,no-result,-2.464688162995762,0.006856627009853011,-0.16087759509854305,0.8196741698793683,0.14111407609345827,,,False,35.73,473
mainline-refutation,other-result,2.5849194456362365,0.004870087543814794,0.16873890363125077,1.1931351821912697,0.17190655653820652,,,False,52.01,473
mainline-warning,disinfo-result,-0.5710931907952623,0.2839682370221517,-0.035857655928478005,0.6844606946983547,1.8497412575344268,,,False,0.73,547
mainline-warning,intervention-clicks,,,,,,0.0,0.0,,0.0,547
mainline-warning,news-result,-1.878681224077248,0.030144016523937722,-0.11800556672703533,0.7000166195778628,0.3176312255656588,,,False,8.23,547
mainline-warning,no-result,1.1987041568711305,0.11532150056515555,0.07551763924402466,1.0862458328852564,0.1579543318332315,,,False,47.35,547
mainline-warning,other-result,0.03302330082740101,0.4868280031997497,0.0020794165629163253,1.0023658457898699,0.15093145737719893,,,False,43.69,547
news,disinfo-result,0.9714771369969104,0.1656553664273419,0.0649692620426483,1.7213793103448276,3.5004441596019946,,,False,1.84,435
news,intervention-clicks,,,,,,0.022988505747126436,0.014083696285447908,,2.3,435
news,news-result,-0.12079237721386336,0.45192774399810975,-0.008046342169419574,0.9780564263322884,0.42389744816757546,,,False,11.49,435
news,no-result,-2.1553197103747044,0.015568412216555472,-0.1437598479383002,0.8385395537525355,0.1465767981487538,,,False,36.55,435
news,other-result,1.9637058024613225,0.02478210966155403,0.13085781264093743,1.1496957403651116,0.17188685675416804,,,False,50.11,435
sidebar-neutral,disinfo-result,-1.1124669585036675,0.13296871451825498,-0.07497870224837294,0.407843137254902,1.6837341371371848,,,False,0.44,459
sidebar-neutral,intervention-clicks,,,,,,0.0,0.0,,0.0,459
sidebar-neutral,news-result,0.10846969671465112,0.456811558589323,0.007125347691113171,1.0196078431372548,0.42855781784873614,,,False,11.98,459
sidebar-neutral,no-result,-0.6087524777268507,0.2713442586257512,-0.039993999379691614,0.954632833525567,0.15399778415908882,,,False,41.61,459
sidebar-neutral,other-result,0.7285215687004147,0.2331471851830822,0.047861381663313995,1.0545943867743175,0.16216921443494714,,,False,45.97,459
sidebar-refutation,disinfo-result,0.13468776058014761,0.446429375324349,0.008991267154442928,1.0883720930232559,2.6451874516343383,,,False,1.16,430
sidebar-refutation,intervention-clicks,,,,,,0.002325581395348837,0.004552836287555831,,0.23,430
sidebar-refutation,news-result,-0.957165307858763,0.16924191222650353,-0.06411273927007899,0.8311205073995772,0.3838486150995709,,,False,9.77,430
sidebar-refutation,no-result,1.2974749652236417,0.09723390675466748,0.0866862599363305,1.0990424076607388,0.1684602759495084,,,False,47.91,430
sidebar-refutation,other-result,-0.7351042098294857,0.23113801533068967,-0.04911861147049268,0.9443228454172367,0.15606198384894265,,,False,41.16,430
sidebar-warning,disinfo-result,-0.784222408502535,0.2164548093278762,-0.050920482347472956,0.5695740365111561,1.8004849906533558,,,False,0.61,493
sidebar-warning,intervention-clicks,,,,,,0.004056795131845842,0.005611015085580522,,0.41,493
sidebar-warning,news-result,-1.0097163550936645,0.15631560220278895,-0.06516219840485504,0.828471325834409,0.36602282286462784,,,False,9.74,493
sidebar-warning,no-result,0.8278425492792149,0.20387983716304703,0.0534376157020644,1.0609712444815653,0.15978306624189087,,,False,46.25,493
sidebar-warning,other-result,-0.05689531973522069,0.47731429129294756,-0.0036718876624408647,0.9958238873642764,0.15442064022564606,,,False,43.41,493
strong-downranking,news-result,-0.2414619464473429,0.4045985531727433,-0.0165478522041399,0.9551020408163265,0.4318216568495382,,,False,11.22,392
strong-downranking,no-result,1.8026741227408865,0.035719704246183204,0.12345689708978824,1.1412064825930373,0.1757794079702928,,,False,49.74,392
strong-downranking,other-result,-1.3513852958244725,0.08828602077858627,-0.09262793311585127,0.8954081632653061,0.15644806226788477,,,False,39.03,392
weak-downranking,disinfo-result,-0.34137235530879706,0.36641164189066444,-0.02232547798582285,0.796595744680851,2.1514878241810487,,,False,0.85,470
weak-downranking,news-result,0.9525296187998282,0.17041422602432144,0.062254641318358006,1.17678916827853,0.46913037269033575,,,False,13.83,470
weak-downranking,no-result,-2.7954125346764602,0.0025916762743847244,-0.18283197885759583,0.7956195244055069,0.1392620837044679,,,False,34.68,470
weak-downranking,other-result,2.162326896852126,0.015296493966841962,0.14132526425764302,1.1617021276595743,0.16970029939396536,,,False,50.64,470
