condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
sidebar-neutral,news-result,3.0592480466000134,0.0011094667246830392,0.027503348339730005,1.0522134121808415,0.034884036382399675,,,True,23.18,24817
sidebar-warning,news-result,3.4249644455072565,0.00030743994105608685,0.030849545899576558,1.0586295836366575,0.035094376314916964,,,True,23.32,24628
sidebar-warning,no-result,-4.137492705851778,1.7556080378899885e-05,-0.037267083631117526,0.9557160763125776,0.02073390268374753,,,True,39.46,24628
strong-downranking,disinfo-result,-16.11793817645851,0.0,-0.1638541614145162,0.43159355802424315,0.048149355016031625,,,True,2.37,18627
strong-downranking,other-result,6.42935102305754,6.407496755400643e-11,0.062313918905162025,1.093653780052556,0.03019061071562401,,,True,34.12,18627
weak-downranking,disinfo-result,-9.122941695283696,0.0,-0.08563541123725854,0.6747097872220651,0.06000964695897104,,,True,3.7,21831
mainline-neutral,disinfo-result,-0.39970999156440007,0.34468506603034976,-0.0035898672829433598,0.9851512619559236,0.07498576826456549,,,False,5.4,24907
mainline-neutral,intervention-clicks,,,,,,0.0006423896896454812,0.00031466982887844456,,0.06,24907
mainline-neutral,news-result,1.5956097302816852,0.05528797687243925,0.014331182485244898,1.027089533638877,0.03428494354048195,,,False,22.63,24907
mainline-neutral,no-result,-1.2040763466025404,0.11428003561486322,-0.01081413504306794,0.9871168120543344,0.021057105949291333,,,False,40.76,24907
mainline-neutral,other-result,0.039770155913413964,0.48413818476529025,0.00035718631504511045,1.0005305033425642,0.026496619213754347,,,False,31.21,24907
mainline-refutation,disinfo-result,0.6564463523607692,0.2557684873720667,0.005911671112439121,1.0246802103915287,0.07737577936732531,,,False,5.62,24640
mainline-refutation,intervention-clicks,,,,,,0.0006087662337662338,0.0003079844326360499,,0.06,24640
mainline-refutation,news-result,2.1227476500253704,0.016887501870286314,0.0191168651417144,1.036192783287878,0.03458329834023788,,,False,22.83,24640
mainline-refutation,no-result,-0.31354693650904897,0.3769325834404895,-0.0028236329031043894,0.9966336838144684,0.02123060024111323,,,False,41.15,24640
mainline-refutation,other-result,-1.909267918182332,0.028113769338624195,-0.017194192072832903,0.974554904916512,0.026132037972641187,,,False,30.4,24640
mainline-warning,disinfo-result,0.9434288959456926,0.17273078440061207,0.008494302985291247,1.035551044924579,0.07795511849574921,,,False,5.68,24663
mainline-warning,intervention-clicks,,,,,,0.0003243725418643312,0.0002247422445268075,,0.03,24663
mainline-warning,news-result,2.9019338585754344,0.0018543341703405325,0.026128733317065445,1.049581600131598,0.034877948268954295,,,False,23.12,24663
mainline-warning,no-result,-2.3896741951747815,0.008431662410021135,-0.021515545908449507,0.9743936866746095,0.02095496500301408,,,False,40.23,24663
mainline-warning,other-result,-0.5523114403966405,0.29036749687284336,-0.004972662039288478,0.9926224782799409,0.026429862652781466,,,False,30.97,24663
news,disinfo-result,-2.1355263853772692,0.016359018650461743,-0.019242469023130815,0.9216343217557751,0.07170493251241827,,,False,5.06,24606
news,intervention-clicks,,,,,,0.04185970901406161,0.0025023509327866122,,4.19,24606
news,news-result,0.11930000168560248,0.45251884108242224,0.0010747211001861379,1.0020225185107061,0.033820094855317784,,,False,22.08,24606
news,no-result,-0.8362897215728378,0.20149596703611128,-0.0075337962603188036,0.9910220757680941,0.021169958480105278,,,False,40.92,24606
news,other-result,1.8054809061062365,0.03549973037659826,0.016264970463586437,1.0242341166920539,0.02697476806380128,,,False,31.95,24606
sidebar-neutral,disinfo-result,-0.3426016150011147,0.36594909346611904,-0.0030797608592804115,0.9872548294282241,0.07517258319332021,,,False,5.42,24817
sidebar-neutral,intervention-clicks,,,,,,0.002135632832332675,0.0005743551013591402,,0.21,24817
sidebar-neutral,no-result,-2.064019675094304,0.019507925477178722,-0.018554432077523497,0.9779115655298581,0.0209643165111153,,,False,40.38,24817
sidebar-neutral,other-result,-0.40475009665078865,0.34283060703326795,-0.003638441823283989,0.9946004754805174,0.026421279520349006,,,False,31.03,24817
sidebar-refutation,disinfo-result,0.03526791080410857,0.4859330554367163,0.0003160696327322299,1.001312368054744,0.07570772038410833,,,False,5.49,25124
sidebar-refutation,intervention-clicks,,,,,,0.0021891418563922942,0.0005779266800396148,,0.22,25124
sidebar-refutation,news-result,1.5129982141132934,0.06514005624610819,0.013560175811984876,1.02562559290326,0.03417808188873095,,,False,22.6,25124
sidebar-refutation,no-result,-2.241940859393978,0.012482597414421148,-0.02009216870395991,0.976084438084364,0.02087610381464211,,,False,40.3,25124
sidebar-refutation,other-result,0.9992591619798157,0.1588345814456701,0.008955483037674794,1.013323970250415,0.02665334498930716,,,False,31.61,25124
sidebar-warning,disinfo-result,0.3752871305709,0.35372346811136857,0.003380049000803853,1.01407645918985,0.07680169582130514,,,False,5.56,24628
sidebar-warning,intervention-clicks,,,,,,0.0017053759948026637,0.0005153246747424877,,0.17,24628
sidebar-warning,other-result,1.0989435143794468,0.13589635238485376,0.00989772529715105,1.0147286058103016,0.0268099508126316,,,False,31.66,24628
strong-downranking,news-result,2.2442726735318663,0.012407431321230789,0.021761189779931023,1.0412349045536191,0.03737398268489911,,,False,22.94,18627
strong-downranking,no-result,-1.4916918424414713,0.06788997431591504,-0.01448064180868136,0.9827546663789533,0.022741832216941926,,,False,40.58,18627
weak-downranking,news-result,2.4136300882976487,0.007897244253168734,0.022415630523928032,1.0424841002943992,0.03581529474674938,,,False,22.97,21831
weak-downranking,no-result,-0.4956674811739066,0.3100645169260292,-0.004605299693591691,0.9945104704621596,0.02188737399572116,,,False,41.06,21831
weak-downranking,other-result,2.4867839142225483,0.006445183408341881,0.023098691813126182,1.0344621047039626,0.02798632451166938,,,False,32.27,21831
