condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
strong-downranking,disinfo-result,-7.196891150269904,3.079758670310184e-13,-0.22109536106630207,0.28999959298302735,0.12644997264807634,,,True,1.61,2177
weak-downranking,disinfo-result,-3.2330312154018386,0.0006124208911014728,-0.09040009431010732,0.6601068037974683,0.19094195269081016,,,True,3.66,2432
weak-downranking,no-result,3.042336119322494,0.0011737480208440232,0.08396020598154652,1.1062415311653118,0.0742388451677658,,,True,42.97,2432
mainline-neutral,disinfo-result,-0.10969084930893552,0.4563272789081113,-0.0028620687517134646,0.9882190750720642,0.23306696230376833,,,False,5.48,3030
mainline-neutral,intervention-clicks,,,,,,0.00033003300330033004,0.0006467579343123844,,0.03,3030
mainline-neutral,news-result,1.603953286447558,0.054362174903149874,0.0418771208104588,1.0780654988575782,0.10380327743749862,,,False,24.59,3030
mainline-neutral,no-result,-0.28351245383070106,0.3883920181801347,-0.007397871075546458,0.9907250887690395,0.06591687743156838,,,False,38.48,3030
mainline-neutral,other-result,-1.1120761306223164,0.13305270930512125,-0.029015329350447594,0.958701752528194,0.0739685258373004,,,False,31.45,3030
mainline-refutation,disinfo-result,0.46447427113350725,0.3211539944695079,0.012253241440601526,1.0511785246617198,0.24647823103431254,,,False,5.83,2900
mainline-refutation,intervention-clicks,,,,,,0.000689655172413793,0.0009554836565844116,,0.07,2900
mainline-refutation,news-result,1.979327577360757,0.023889568315681786,0.052227008847953615,1.0976657824933689,0.10620072222350108,,,False,25.03,2900
mainline-refutation,no-result,-1.3312277383074875,0.09155704348398319,-0.035113559073125744,0.956125595738716,0.06529986767026674,,,False,37.14,2900
mainline-refutation,other-result,-0.6537694605030766,0.2566301723574681,-0.017243782731246826,0.9754010695187165,0.0756220220795798,,,False,32.0,2900
mainline-warning,disinfo-result,-1.0411506958360437,0.1489028070740812,-0.027419513418337316,0.8898486997020828,0.21878881862831634,,,False,4.93,2919
mainline-warning,intervention-clicks,,,,,,0.0006851661527920521,0.000949266470605697,,0.07,2919
mainline-warning,news-result,1.598573342775783,0.05495771840364938,0.04210947909686824,1.0785042295833662,0.10477882368054181,,,False,24.6,2919
mainline-warning,no-result,-0.7974251216222059,0.21260208706294548,-0.020998920588403802,0.973715800878461,0.06587969777660185,,,False,37.82,2919
mainline-warning,other-result,-0.1285597866708165,0.4488529938820893,-0.0033854233869361483,0.995158037053932,0.07643292545116231,,,False,32.65,2919
news,disinfo-result,-1.454320525469827,0.07292873121511234,-0.038770050537468626,0.8460346163781968,0.21415754471659076,,,False,4.69,2793
news,intervention-clicks,,,,,,0.04654493376297888,0.007812803961999203,,4.65,2793
news,news-result,0.7642011012269967,0.22237370521214084,0.02034665492859078,1.0376766091051806,0.10325492044641438,,,False,23.67,2793
news,no-result,0.47223133514791515,0.31838083783830085,0.012573294313698247,1.015799273638995,0.0682862428992248,,,False,39.46,2793
news,other-result,-0.49668716611748587,0.30970483703452867,-0.01322499131228283,0.9811197206155189,0.07664944392432593,,,False,32.19,2793
sidebar-neutral,disinfo-result,-0.6916530824227297,0.24457760879112334,-0.018333977451353067,0.9256746234788992,0.22654733416068018,,,False,5.13,2845
sidebar-neutral,intervention-clicks,,,,,,0.00210896309314587,0.00168574153182788,,0.21,2845
sidebar-neutral,news-result,0.2567439275099774,0.39868822930849734,0.006804316754704165,1.0125456266053807,0.10110885835351313,,,False,23.09,2845
sidebar-neutral,no-result,2.3770658323838445,0.008725486643630265,0.06300895495027903,1.0795814460780813,0.07041290221524665,,,False,41.93,2845
sidebar-neutral,other-result,-2.4122459757520236,0.007927290607408821,-0.06394694698809245,0.9096172100410703,0.07284774933671256,,,False,29.84,2845
sidebar-refutation,disinfo-result,-0.32615997063199476,0.37215166278421286,-0.008576673002528623,0.9648933646734091,0.2311652992610197,,,False,5.35,2935
sidebar-refutation,intervention-clicks,,,,,,0.0030664395229982964,0.002000333133200286,,0.31,2935
sidebar-refutation,news-result,0.2346277841979423,0.40724882138474927,0.006170478673677926,1.011374656008387,0.10022195235430464,,,False,23.07,2935
sidebar-refutation,no-result,0.9273939277851497,0.17686102111149138,0.02439037795040777,1.030687478936118,0.06800810477959884,,,False,40.03,2935
sidebar-refutation,other-result,-1.0230421369011782,0.1531439616903285,-0.026903252149296897,0.9616922810629593,0.07473066742298728,,,False,31.55,2935
sidebar-warning,disinfo-result,-0.4959531474950823,0.30996373369823726,-0.013063954221010976,0.9467616214690492,0.22854004161164487,,,False,5.25,2915
sidebar-warning,intervention-clicks,,,,,,0.0024013722126929675,0.0017768241722916898,,0.24,2915
sidebar-warning,news-result,0.3766676397088052,0.3532103071544357,0.009922835869981772,1.0183137617099882,0.1008563817920296,,,False,23.22,2915
