condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
strong-downranking,disinfo-result,-4.248710737250251,1.0750216477117824e-05,-0.16146679805498637,0.4603559870550161,0.20529644527489133,,,True,2.78,1332
mainline-neutral,disinfo-result,-0.23921889290544426,0.40546792674073073,-0.008046604408000813,0.9684823933019783,0.29058382011418005,,,False,5.84,1831
mainline-neutral,intervention-clicks,,,,,,0.0,0.0,,0.0,1831
mainline-neutral,news-result,0.7923412086203798,0.21408087484835536,0.026667381678603164,1.0485215143463025,0.13044595123093528,,,False,24.63,1831
mainline-neutral,no-result,-1.602697459222384,0.05450073237827657,-0.05391587761928052,0.9308184808834803,0.08528073009433479,,,False,34.84,1831
mainline-neutral,other-result,1.0298651289861724,0.15153666107043195,0.034659118624730034,1.049638611617881,0.10145133218257563,,,False,34.68,1831
mainline-refutation,disinfo-result,-0.16229588721704116,0.4355364266354148,-0.005538279854435335,0.9782564724919093,0.297461257363811,,,False,5.9,1728
mainline-refutation,intervention-clicks,,,,,,0.0011574074074074073,0.0016031562691029297,,0.12,1728
mainline-refutation,news-result,0.4009619447277177,0.3442240710705591,0.013683472523811746,1.0247991133277916,0.13037444626753292,,,False,24.07,1728
mainline-refutation,no-result,0.9470970656970447,0.1717946599132586,0.03232227130506726,1.04195466005912,0.09252554479291608,,,False,39.0,1728
mainline-refutation,other-result,-1.269908969932358,0.10205852881651745,-0.04333854124382275,0.9388051615445232,0.09613704208340024,,,False,31.02,1728
mainline-warning,disinfo-result,0.19974146687993727,0.4208413906612719,0.006727994453836206,1.0267149974450689,0.303161482427341,,,False,6.2,1824
mainline-warning,intervention-clicks,,,,,,0.0,0.0,,0.0,1824
mainline-warning,news-result,0.13478062261182758,0.4463926634712163,0.0045390844338597525,1.0082031762698516,0.12719170627072174,,,False,23.68,1824
mainline-warning,no-result,-0.2626333271260005,0.3964166050973078,-0.008844115388770168,0.9885795033358044,0.08847025679346399,,,False,37.01,1824
mainline-warning,other-result,0.04646019329429399,0.4814717304769588,0.0015646053251376912,1.0022279768570361,0.09865613186781141,,,False,33.11,1824
news,disinfo-result,-1.1059873366308364,0.13436600025186118,-0.03757722519138934,0.856889894086496,0.27011105562959203,,,False,5.17,1760
news,intervention-clicks,,,,,,0.03465909090909091,0.008545720344221082,,3.47,1760
news,news-result,-0.49384228991726503,0.31070878198408935,-0.01677520820097489,0.9698863636363637,0.1251394853507508,,,False,22.78,1760
news,no-result,1.3456240657024308,0.08921189320383371,0.045720120560365674,1.059437686726419,0.09301822354107125,,,False,39.66,1760
news,other-result,-0.4103954001384798,0.34075796001068404,-0.013941008949821532,0.9802043036750483,0.09821112312735791,,,False,32.39,1760
sidebar-neutral,disinfo-result,0.5396660808581889,0.2947136679262351,0.01850153317635095,1.0742543952491832,0.31926362192605073,,,False,6.48,1697
sidebar-neutral,intervention-clicks,,,,,,0.0029463759575721863,0.0025788049157623194,,0.29,1697
sidebar-neutral,news-result,-0.6389985192659633,0.2614119475837574,-0.02190611033182166,0.9607404588117214,0.12560049238090287,,,False,22.57,1697
sidebar-neutral,no-result,0.2747173820320788,0.3917666879307279,0.009417239604368799,1.0121894201587447,0.0913881225981985,,,False,37.89,1697
sidebar-neutral,other-result,0.011111073693243873,0.49556741412815286,0.0003808842707402338,1.0005422585538937,0.10040492198281692,,,False,33.06,1697
sidebar-refutation,disinfo-result,-1.744351487196992,0.040548909394854116,-0.05963702702483675,0.7777509028113715,0.2546962309807729,,,False,4.69,1726
sidebar-refutation,intervention-clicks,,,,,,0.002317497103128621,0.0022685139460808202,,0.23,1726
sidebar-refutation,news-result,-0.46123815391380385,0.32231387546454593,-0.01574428217430801,0.9717276912007351,0.12595098399838256,,,False,22.83,1726
sidebar-refutation,no-result,1.0435116947808811,0.14835568364915352,0.03562331432653276,1.046257459783809,0.09277740899267717,,,False,39.17,1726
sidebar-refutation,other-result,0.17022764767273324,0.43241555466428483,0.005810763277550368,1.0082807376543972,0.10043255732194445,,,False,33.31,1726
sidebar-warning,disinfo-result,0.8589433409213636,0.19518588808706983,0.029071891026616226,1.1177874468292366,0.32362388572397505,,,False,6.74,1794
sidebar-warning,intervention-clicks,,,,,,0.002229654403567447,0.002182623990347683,,0.22,1794
sidebar-warning,news-result,1.1357437732933215,0.12803190748627546,0.03841739347993012,1.0701465400045038,0.13291413032982868,,,False,25.14,1794
sidebar-warning,no-result,-2.3277855004484245,0.009961748190433162,-0.07870918448716369,0.89938815352165,0.08404260289577892,,,False,33.67,1794
sidebar-warning,other-result,0.8804140928789347,0.1893175123717199,0.0297736436338063,1.042606560876681,0.101532217816942,,,False,34.45,1794
strong-downranking,news-result,-0.28694487912659666,0.3870772630776843,-0.010494870100742348,0.9811226438408484,0.13646026637029307,,,False,23.05,1332
