condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
strong-downranking,disinfo-result,-3.5137982011759,0.00022087413459548344,-0.1729991236071607,0.4272611169162893,0.27144396607932497,,,True,2.55,783
mainline-neutral,disinfo-result,-1.4317372035307552,0.0761095224452184,-0.062026995862754175,0.7683340582862114,0.3352067217028166,,,False,4.59,1045
mainline-neutral,intervention-clicks,,,,,,0.0,0.0,,0.0,1045
mainline-neutral,news-result,-0.7622346762074939,0.2229599767684669,-0.03291172927521513,0.9385899007473605,0.16622382244982237,,,False,20.57,1045
mainline-neutral,no-result,0.8269443935164517,0.20413428986871895,0.035689729309875684,1.0425889669469077,0.10830757342958863,,,False,43.16,1045
mainline-neutral,other-result,0.484248549378629,0.31410474268546484,0.020898016085659332,1.031528136511835,0.13808028193090993,,,False,31.67,1045
mainline-refutation,disinfo-result,-0.23087286198961798,0.40870678710652897,-0.009884874703353086,0.9611593226051056,0.38429122356534506,,,False,5.75,1079
mainline-refutation,intervention-clicks,,,,,,0.0,0.0,,0.0,1079
mainline-refutation,news-result,-0.18469012153852796,0.4267360473770263,-0.007906630720397989,0.9851178394442359,0.16992163687823703,,,False,21.59,1079
mainline-refutation,no-result,0.5417351299692102,0.2940004926764872,0.023191013191078858,1.0276473677913134,0.10656803161865125,,,False,42.54,1079
mainline-refutation,other-result,-0.2975680645270398,0.38301642588282947,-0.012739017921711282,0.9809148096812028,0.13275982953300547,,,False,30.12,1079
mainline-warning,disinfo-result,0.8788443778250574,0.18974283033378936,0.03756544960266539,1.1541356527557078,0.43529025596783777,,,False,6.9,1087
mainline-warning,intervention-clicks,,,,,,0.0,0.0,,0.0,1087
mainline-warning,news-result,1.5643655335981448,0.058865875028776604,0.06686002766765775,1.128954511241038,0.18549185441478144,,,False,24.75,1087
mainline-warning,no-result,-2.516859113218891,0.0059203082871222,-0.10761319016923232,0.8734054138928534,0.09735094742963613,,,False,36.15,1087
mainline-warning,other-result,0.7521425122522487,0.22598268032765423,0.0321386791018381,1.0485952243326198,0.13803976748331848,,,False,32.2,1087
news,disinfo-result,-0.4201407044609148,0.33719133427953474,-0.01791467397853308,0.9301400513797962,0.3739649611359901,,,False,5.56,1097
news,intervention-clicks,,,,,,0.03463992707383774,0.010821461242901426,,3.46,1097
news,news-result,0.4383555095545197,0.33056429625269756,0.018687653090604828,1.0354912345465093,0.17475934637170876,,,False,22.7,1097
news,no-result,-0.35222590551958105,0.362334425227515,-0.01501584734802841,0.9821574255628539,0.10350021620080485,,,False,40.66,1097
news,other-result,0.19202748731142438,0.4238603371614095,0.00818625119905203,1.0123183904615163,0.13474832756110167,,,False,31.08,1097
sidebar-neutral,disinfo-result,0.42168457414553545,0.336627632706304,0.01770039395801737,1.071345392438475,0.4046494888766219,,,False,6.4,1171
sidebar-neutral,intervention-clicks,,,,,,0.0,0.0,,0.0,1171
sidebar-neutral,news-result,0.357995268254282,0.3601734272963809,0.01502030224091333,1.0284915767409362,0.17103795177118863,,,False,22.54,1171
sidebar-neutral,no-result,-1.2769032777837825,0.10081819839909145,-0.05356419243898758,0.9365949916564981,0.09905745754220685,,,False,38.77,1171
sidebar-neutral,other-result,0.8074198290793573,0.20971232326298428,0.03388004996082872,1.0512458151644084,0.13567558987849315,,,False,32.28,1171
sidebar-refutation,disinfo-result,0.7552859332430202,0.2250387185292515,0.0326784910135246,1.1335034761946667,0.43593329797402935,,,False,6.78,1033
sidebar-refutation,intervention-clicks,,,,,,0.000968054211035818,0.0018964676448842135,,0.1,1033
sidebar-refutation,news-result,-0.40431816255197145,0.34298938559799275,-0.017506189367253122,0.9671581608570079,0.16999109003012292,,,False,21.2,1033
sidebar-refutation,no-result,-0.7106551974492034,0.23864896464132634,-0.03076718322410321,0.9634956712936975,0.104130156822138,,,False,39.88,1033
sidebar-refutation,other-result,0.7132108614176514,0.2378576431256777,0.030868949289011516,1.0466636397124964,0.13973909437886767,,,False,32.14,1033
sidebar-warning,disinfo-result,-0.9487341575006093,0.1713779184204367,-0.04160832480183185,0.8414121090177429,0.3614077021275144,,,False,5.03,994
sidebar-warning,intervention-clicks,,,,,,0.002012072434607646,0.0027857832877303743,,0.2,994
sidebar-warning,news-result,0.9935659178279702,0.16021712190269444,0.04341884652587813,1.083126860335567,0.18476703029575337,,,False,23.74,994
sidebar-warning,no-result,-0.6305223997741609,0.2641764260487024,-0.027574011618933136,0.9672741041434604,0.10548566748837318,,,False,40.04,994
sidebar-warning,other-result,0.2377982188508121,0.4060188001007976,0.01039651430931987,1.0156514307081428,0.1386718207736699,,,False,31.19,994
strong-downranking,news-result,1.3227501027176882,0.09295924783776965,0.06161637948522636,1.1186472879262848,0.20176179893129942,,,False,24.52,783
strong-downranking,no-result,-0.6186023743172834,0.26808916866893606,-0.028916785659564237,0.9656849182994207,0.11323344544866454,,,False,39.97,783
strong-downranking,other-result,1.0325909052161057,0.15089769305670453,0.048173825552585425,1.0730681856711763,0.153320594533219,,,False,32.95,783
weak-downranking,disinfo-result,-2.8198336251868215,0.002402427727801304,-0.12800214816294164,0.554001554001554,0.28730231410877094,,,False,3.31,936
weak-downranking,news-result,-1.1923965735210222,0.11655289160436388,-0.05307894156497994,0.9016740834922653,0.16757378459505878,,,False,19.76,936
