condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
mainline-warning,no-result,-3.9815718390109565,3.423051115092335e-05,-0.14164720933983355,0.8359289726592657,0.07736904718463244,,,True,35.09,1596
sidebar-warning,no-result,-3.5266342495141387,0.00021043886575145,-0.12774346005846615,0.8517711749636954,0.07980962769095601,,,True,35.75,1488
strong-downranking,disinfo-result,-4.4883093446165185,3.5895316153888857e-06,-0.18385649428773732,0.40203027116008966,0.20651994291767467,,,True,2.43,1151
strong-downranking,other-result,3.3016589785288155,0.00048057424698666473,0.1277865564383398,1.198174224582762,0.13524427671785033,,,True,36.4,1151
weak-downranking,disinfo-result,-3.5375211599275844,0.00020195091033037293,-0.13252947450634667,0.5430075187969925,0.22341911706803463,,,True,3.29,1400
mainline-neutral,disinfo-result,-1.5019480423224507,0.06655526393816003,-0.053137914117714846,0.8009686793671295,0.26976686233596625,,,False,4.85,1630
mainline-neutral,intervention-clicks,,,,,,0.001226993865030675,0.001699483149422978,,0.12,1630
mainline-neutral,news-result,-0.12480882789403587,0.4503374491978285,-0.004413316373975684,0.9916028738440379,0.14040242328534314,,,False,21.41,1630
mainline-neutral,no-result,0.5200515238064747,0.3015138321267241,0.018390593643960562,1.0216539281491757,0.08592805113508728,,,False,42.88,1630
mainline-neutral,other-result,0.2924836988701171,0.3849584108361652,0.010343170724048,1.015691116512971,0.11170626729870303,,,False,30.86,1630
mainline-refutation,disinfo-result,-0.533347905203212,0.2968963859711439,-0.0189315131710015,0.926709296606001,0.2991888307672653,,,False,5.61,1605
mainline-refutation,intervention-clicks,,,,,,0.0006230529595015577,0.0012208033102568694,,0.06,1605
mainline-refutation,news-result,0.7373868182934424,0.23044357463301157,0.02617888235299104,1.0503312840588501,0.14648438816485188,,,False,22.68,1605
mainline-refutation,no-result,0.010986677365043558,0.4956170380538881,0.0003899878223079245,1.0004585442873417,0.08526125047032851,,,False,41.99,1605
mainline-refutation,other-result,-0.40712003668888874,0.3419599139294006,-0.014450998947125315,0.9781931464174456,0.10954201155089938,,,False,29.72,1605
mainline-warning,disinfo-result,0.031516856317242874,0.487428674712691,0.0011203043144508706,1.0044189420920722,0.31687792975230544,,,False,6.08,1596
mainline-warning,intervention-clicks,,,,,,0.0,0.0,,0.0,1596
mainline-warning,news-result,2.6717834176859414,0.0037724664063694124,0.09507121940407803,1.186835081804807,0.15934365865469036,,,False,25.63,1596
mainline-warning,other-result,1.7069879559013943,0.043912145518532175,0.060695875445552216,1.0930103035366194,0.11763249534429177,,,False,33.21,1596
news,disinfo-result,-1.866164976246549,0.03100914376587538,-0.06642151719705192,0.7544847108390113,0.2609194873927668,,,False,4.57,1599
news,intervention-clicks,,,,,,0.035021888680425266,0.009010737795157882,,3.5,1599
news,news-result,0.1596039258842156,0.436596543110675,0.005670740419930764,1.010827194725317,0.14292522720948742,,,False,21.83,1599
news,no-result,0.10081398765148772,0.45984906143698,0.0035818652976207233,1.0042126101195645,0.08552132298164694,,,False,42.15,1599
news,other-result,0.6546448443422289,0.25634822217064135,0.023260909444585254,1.0353824389719466,0.11362006262493418,,,False,31.46,1599
sidebar-neutral,disinfo-result,-1.5087978833417521,0.06567522092432587,-0.05408745367304019,0.797602113391587,0.27316103029898675,,,False,4.83,1554
sidebar-neutral,intervention-clicks,,,,,,0.003861003861003861,0.0030834765718799487,,0.39,1554
sidebar-neutral,news-result,0.8416338964494154,0.19999645489566764,0.030117534931817347,1.0579795978026068,0.14842159389261167,,,False,22.84,1554
sidebar-neutral,no-result,-0.5213060141302136,0.30107680604307085,-0.018654488430216,0.9781014485111601,0.08492031520007837,,,False,41.06,1554
sidebar-neutral,other-result,0.5398069330206117,0.29466509265570306,0.01931612295451357,1.02935819916952,0.11403840429883294,,,False,31.27,1554
sidebar-refutation,disinfo-result,-0.6242193310234868,0.26624177661895687,-0.022273679873266394,0.9140428949041389,0.2981647337751693,,,False,5.53,1573
sidebar-refutation,intervention-clicks,,,,,,0.0019071837253655435,0.002156122546416792,,0.19,1573
sidebar-refutation,news-result,-0.20179567595623882,0.42003823104947347,-0.007198982544729837,0.9863159098879131,0.14123915410264742,,,False,21.3,1573
sidebar-refutation,no-result,-0.3346693291199038,0.3689372701771756,-0.011939229442044175,0.985976363269783,0.08502064167711054,,,False,41.39,1573
sidebar-refutation,other-result,0.8504485807140523,0.19753786823853625,0.030341262038657835,1.0462188849838936,0.11484330477591165,,,False,31.79,1573
sidebar-warning,disinfo-result,0.3818022930946672,0.35130400887652546,0.013810125648924643,1.0551075268817205,0.33453476296109086,,,False,6.38,1488
sidebar-warning,intervention-clicks,,,,,,0.0013440860215053765,0.0018615558788304056,,0.13,1488
sidebar-warning,news-result,1.7121422071057617,0.04343523239623326,0.06193420775874314,1.1204681701398802,0.15591887260418003,,,False,24.19,1488
sidebar-warning,other-result,1.9480210402185567,0.0257062228188486,0.07047461829696022,1.1081946980455806,0.12072923489744136,,,False,33.67,1488
strong-downranking,news-result,-1.6374403306966543,0.05076924852704012,-0.06379683682253834,0.8811883471855947,0.14460616338988708,,,False,19.03,1151
strong-downranking,no-result,0.08496556476067645,0.4661443835104908,0.0032968727733244663,1.003877343577993,0.09371717022984916,,,False,42.14,1151
weak-downranking,news-result,1.6539451859551504,0.04906932524016805,0.06075011656303031,1.1181205225453013,0.15817661059556665,,,False,24.14,1400
weak-downranking,no-result,-0.5380249299077371,0.2952799188009514,-0.019779572280395064,0.9767830045523519,0.08731970696760893,,,False,41.0,1400
weak-downranking,other-result,0.6998893386279254,0.2419982080100841,0.025720543174559074,1.0391434561245882,0.11792221186408636,,,False,31.57,1400
