condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
sidebar-refutation,other-result,3.174813872174524,0.0007496632015340232,0.16061725874023547,1.253214789114171,0.18870237326638395,,,True,37.53,802
strong-downranking,disinfo-result,-3.453235737164695,0.00027695235979974253,-0.21026794026125445,0.3404255319148936,0.30976316221023875,,,True,2.08,528
mainline-neutral,disinfo-result,-0.620314424729561,0.26752539998085767,-0.03215383395383409,0.8777914541937754,0.4478518499575225,,,False,5.37,726
mainline-neutral,intervention-clicks,,,,,,0.0,0.0,,0.0,726
mainline-neutral,news-result,-0.4150339419413791,0.33905852801782954,-0.02148905026024861,0.9605775624584403,0.20099601035652248,,,False,21.76,726
mainline-neutral,no-result,1.3083747355914,0.09537311874518462,0.06773100730414705,1.0812107307662226,0.13416216278253845,,,False,44.63,726
mainline-neutral,other-result,-0.7275823321187942,0.2334346495830455,-0.03767526497955931,0.9428674092705713,0.16203102808287073,,,False,28.24,726
mainline-refutation,disinfo-result,-1.2521776732939927,0.10525256481030842,-0.06447257753421265,0.7625531914893617,0.4048652475631007,,,False,4.67,750
mainline-refutation,intervention-clicks,,,,,,0.0,0.0,,0.0,750
mainline-refutation,news-result,0.7403845048229456,0.22953335911933714,0.038008223665081164,1.071080459770115,0.2135826410627557,,,False,24.27,750
mainline-refutation,no-result,0.23344386436899597,0.4077083775332827,0.011984078810473031,1.0143091482649842,0.1285032398510595,,,False,41.87,750
mainline-refutation,other-result,-0.3192186933583245,0.37478034133717864,-0.01638851580656464,0.9750260869565216,0.16381928579605842,,,False,29.2,750
mainline-warning,disinfo-result,-0.5508433719368772,0.29087052466915075,-0.028288290816630923,0.8920871462163924,0.4475511663750267,,,False,5.46,751
mainline-warning,intervention-clicks,,,,,,0.0,0.0,,0.0,751
mainline-warning,news-result,-0.19578741401926336,0.42238828079083024,-0.010048087785010318,0.9814959364525461,0.20180765560468716,,,False,22.24,751
mainline-warning,no-result,0.47423016637510795,0.3176678919188862,0.02433712832576096,1.029088449890157,0.12947421727552788,,,False,42.48,751
mainline-warning,other-result,-0.05151467932512152,0.47945770248619013,-0.0026437009774653575,0.9959590111735078,0.16589055596996516,,,False,29.83,751
