condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
sidebar-neutral,other-result,-3.197569893634901,0.000692954105054211,-0.15082821036771699,0.8025756706900006,0.1164451524562421,,,True,28.59,899
mainline-neutral,disinfo-result,0.8391197755663974,0.2007010499509443,0.03928976718272448,1.2115981824719688,0.686909881915672,,,False,4.42,927
mainline-neutral,intervention-clicks,,,,,,0.0010787486515641855,0.0021132066246617198,,0.11,927
mainline-neutral,news-result,0.652983413457496,0.2568834858222152,0.030529097486983736,1.0576674341346128,0.19392056434407023,,,False,23.52,927
mainline-neutral,no-result,0.8567040531852218,0.19580423137377578,0.04005045781108829,1.050849979540974,0.12634211065632073,,,False,40.45,927
mainline-neutral,other-result,-1.8173529835720477,0.034581540983218195,-0.0849682770315987,0.8873612199910216,0.12220833999768266,,,False,31.61,927
mainline-refutation,disinfo-result,0.20660539371379633,0.41815902378888015,0.009839217789461896,1.0511627906976744,0.6364198715954577,,,False,3.84,860
mainline-refutation,intervention-clicks,,,,,,0.0,0.0,,0.0,860
mainline-refutation,news-result,0.7993205712852459,0.21205227682866545,0.038068277256547156,1.0720814531991207,0.19954027490329507,,,False,23.84,860
mainline-refutation,no-result,1.4411361132547904,0.07477311642042439,0.06865019309821863,1.0874097834803529,0.1312945191840844,,,False,41.86,860
mainline-refutation,other-result,-2.2993730719290815,0.010741881845462542,-0.1096582770462522,0.85529394771053,0.12235262026427907,,,False,30.47,860
mainline-warning,disinfo-result,1.7981020961758982,0.03608041506518467,0.08493034116895709,1.4815706736236536,0.7997478161608773,,,False,5.41,906
mainline-warning,intervention-clicks,,,,,,0.0,0.0,,0.0,906
mainline-warning,news-result,0.14395848896955243,0.442766624560063,0.006767546528959167,1.012684919772001,0.18960383901227096,,,False,22.52,906
mainline-warning,no-result,1.6854202864750347,0.04595375619679032,0.07925551986906787,1.1010124077034331,0.13053642138068278,,,False,42.38,906
mainline-warning,other-result,-2.689293999599761,0.0035801662895162956,-0.12653978459859405,0.8335595683709707,0.11869099694868612,,,False,29.69,906
news,disinfo-result,1.4755205357364904,0.0700363257056954,0.06956278545323741,1.3877986917634493,0.7617605937451954,,,False,5.07,908
news,intervention-clicks,,,,,,0.02973568281938326,0.011048342650039147,,2.97,908
