condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
strong-downranking,disinfo-result,-3.078704680944135,0.0010395132986634747,-0.10565428798004028,0.5957583783982636,0.2364518200244875,,,True,3.06,1599
mainline-neutral,disinfo-result,-0.013745199744372808,0.4945166313325624,-0.00042925737028581823,0.9981574353716992,0.30025020973666294,,,False,5.13,2123
mainline-neutral,intervention-clicks,,,,,,0.0004710315591144607,0.0009230043969387343,,0.05,2123
mainline-neutral,news-result,-0.42438138487501764,0.3356438471825548,-0.01325163048502731,0.9750418543631338,0.12071868219057547,,,False,21.29,2123
mainline-neutral,no-result,1.7026561944843999,0.04431621358103621,0.053186295771050496,1.061676839061998,0.07582571270214,,,False,45.45,2123
mainline-neutral,other-result,-1.4702261311711615,0.07075025983613581,-0.04590536690438607,0.9309368652574515,0.09318703723108213,,,False,28.12,2123
mainline-refutation,disinfo-result,0.598649606354295,0.27470328434562696,0.018642496650603135,1.0815675366113064,0.3166999440875482,,,False,5.56,2157
mainline-refutation,intervention-clicks,,,,,,0.0013908205841446453,0.0015727667913427643,,0.14,2157
mainline-refutation,news-result,0.6804590185621137,0.248106931114912,0.021176945790163826,1.0403530692808525,0.1256135749692351,,,False,22.72,2157
mainline-refutation,no-result,-0.28618467723975705,0.3873683394839599,-0.008903268505466189,0.9897171015233499,0.07258973051721362,,,False,42.37,2157
mainline-refutation,other-result,-0.6049315114852505,0.2726122522308987,-0.01881716181453852,0.971514879922727,0.09534261954005319,,,False,29.35,2157
mainline-warning,disinfo-result,1.562448937167747,0.059091133115165784,0.0488709020106497,1.2201956192312988,0.34686351402595794,,,False,6.28,2135
mainline-warning,intervention-clicks,,,,,,0.0,0.0,,0.0,2135
mainline-warning,news-result,-0.8510399569345485,0.19737357860060478,-0.026534757992872526,0.9502560968354328,0.1184839253115415,,,False,20.75,2135
mainline-warning,no-result,-0.214912731562936,0.41491767923257583,-0.006702516565089134,0.9922575946905436,0.07288196982673889,,,False,42.48,2135
mainline-warning,other-result,0.19878041632842822,0.4212172578949176,0.00619981573369266,1.0094364925148471,0.09795668795865131,,,False,30.49,2135
news,disinfo-result,-1.4200163179429584,0.07780146524689524,-0.04462968880930979,0.8170929241261721,0.26330434049604123,,,False,4.2,2070
