condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
sidebar-neutral,no-result,3.2274725166298066,0.0006244451884346303,0.14560364519694358,1.1915446543106119,0.1341658821209426,,,True,44.49,962
strong-downranking,disinfo-result,-3.0232802870338342,0.001250252645307981,-0.1518916378333231,0.4947980089299066,0.2952895903609322,,,True,3.1,743
mainline-neutral,disinfo-result,0.20358827056461357,0.41933762995595125,0.009308123987607386,1.0363335077620792,0.4248952986608856,,,False,6.48,910
mainline-neutral,intervention-clicks,,,,,,0.0,0.0,,0.0,910
mainline-neutral,news-result,-1.1106094832599598,0.1333682395181336,-0.05085523494884259,0.9076007326007326,0.16962096084612177,,,False,20.55,910
mainline-neutral,no-result,1.4401927971772839,0.07490643023803634,0.06586006618010365,1.0859919335983166,0.12896098102981468,,,False,40.55,910
mainline-neutral,other-result,-0.625293484779234,0.26588922763313216,-0.02860835524919092,0.9601325145442793,0.1306854004527228,,,False,32.42,910
mainline-refutation,disinfo-result,2.038385330147497,0.020755706110357708,0.0932211143212075,1.3906894622753654,0.5219501229520433,,,False,8.7,908
mainline-refutation,intervention-clicks,,,,,,0.0,0.0,,0.0,908
mainline-refutation,news-result,-0.033649140413692595,0.4865784680252977,-0.0015399695073370356,0.9971549192364171,0.18001290978052187,,,False,22.58,908
mainline-refutation,no-result,0.34586265463667754,0.3647229679068449,0.01582671417601822,1.0205443340519262,0.12462185285513794,,,False,38.11,908
mainline-refutation,other-result,-1.4708308936141743,0.07066842768955661,-0.06737438964840758,0.906795802021249,0.12656984398692872,,,False,30.62,908
mainline-warning,disinfo-result,0.9491015937098861,0.17128447196320873,0.043338315958486584,1.174272486772487,0.46253066026618517,,,False,7.35,912
mainline-warning,intervention-clicks,,,,,,0.0010964912280701754,0.0021479442367029608,,0.11,912
mainline-warning,news-result,0.4278195470938249,0.33439125224439303,0.019550902660366742,1.0363669590643274,0.184238389640057,,,False,23.46,912
mainline-warning,no-result,0.2709325956790517,0.3932214372791937,0.012383856716938757,1.0160682624113475,0.12416705315210574,,,False,37.94,912
mainline-warning,other-result,-1.173405352640874,0.12031664587567281,-0.053673796315758304,0.9255514705882353,0.12788737996212118,,,False,31.25,912
news,disinfo-result,0.5961863305659063,0.2755253781897087,0.026363541751949993,1.1044694269262407,0.42698244891458104,,,False,6.91,1042
news,intervention-clicks,,,,,,0.03166986564299424,0.010633030165817965,,3.17,1042
news,news-result,0.2623694715492381,0.39651830332412785,0.011594950898087819,1.0215131158029431,0.1760707776228414,,,False,23.13,1042
news,no-result,0.2211304067847476,0.41249544752463374,0.009771972032254661,1.0126750929064403,0.11961814604205157,,,False,37.81,1042
news,other-result,-0.7770739184710205,0.2185575803464681,-0.034337468128160076,0.9521988257875126,0.12522054801945715,,,False,32.15,1042
sidebar-neutral,disinfo-result,-0.01759807348732093,0.4929797467870989,-0.000793401387286452,0.996930996930997,0.4069851585098494,,,False,6.24,962
sidebar-neutral,intervention-clicks,,,,,,0.0,0.0,,0.0,962
sidebar-neutral,news-result,-0.6008575206614941,0.27396744430075903,-0.027096544427050007,0.9503638253638254,0.1717565403379071,,,False,21.52,962
sidebar-neutral,other-result,-2.8863084943553443,0.00194894941318291,-0.13034681646602264,0.8220282499694264,0.11760123013295876,,,False,27.75,962
sidebar-refutation,disinfo-result,0.060312385409627196,0.4759534188870236,0.0027284305285049104,1.0105875859300517,0.4124465844849621,,,False,6.32,949
sidebar-refutation,intervention-clicks,,,,,,0.002107481559536354,0.0029177410129714097,,0.21,949
sidebar-refutation,news-result,0.2292112439263279,0.4093523669068906,0.01036892480448015,1.0192307692307692,0.18028931577329899,,,False,23.08,949
sidebar-refutation,no-result,1.4645729223683437,0.07151873704780731,0.06625862463814691,1.0865160415218706,0.1276129977937861,,,False,40.57,949
sidebar-refutation,other-result,-1.7690893811631858,0.03843947985543472,-0.08010413637616609,0.8894656914399057,0.12354219538223465,,,False,30.03,949
sidebar-warning,disinfo-result,-0.8160836497555459,0.20722614730836675,-0.037836701162756725,0.8585759637188208,0.38038623665395255,,,False,5.37,875
sidebar-warning,intervention-clicks,,,,,,0.001142857142857143,0.002238719634076585,,0.11,875
sidebar-warning,news-result,0.5212987238932678,0.3010793449139214,0.02408059534076401,1.044857142857143,0.18735532929569443,,,False,23.66,875
sidebar-warning,no-result,0.5752123106214188,0.2825738589905611,0.026578711515541364,1.034547112462006,0.12685093780987056,,,False,38.63,875
sidebar-warning,other-result,-0.6532866731515754,0.2567857411897222,-0.03020530338821148,0.9579193277310925,0.13201040481103155,,,False,32.34,875
strong-downranking,news-result,0.70968296458791,0.23895037924278117,0.034269808530168144,1.0640421713772992,0.1987449856570369,,,False,24.09,743
strong-downranking,no-result,-1.2413703689199778,0.10723448005328251,-0.06012670436196954,0.9227685346925919,0.12540745661712716,,,False,34.45,743
strong-downranking,other-result,1.9826055570479746,0.02370575308566114,0.0957262141410038,1.136073945055815,0.15212871544502526,,,False,38.36,743
weak-downranking,disinfo-result,-1.1375603849626268,0.12765204821050824,-0.05253685355914428,0.8063741191543882,0.36312881067383784,,,False,5.04,892
