condition,outcome,z,p,cohens-h,relative-risk,relative-risk-95%-CIs,intervention-click-rate,intervention-click-rate-95%-CIs,significant-after-Holm-Bonferroni?,pct-of-SERP-loads,SERP-load-count
strong-downranking,disinfo-result,-4.9006727284312595,4.775452198124697e-07,-0.16041715392609107,0.5017507246376812,0.16415440654085312,,,True,3.59,1725
weak-downranking,disinfo-result,-3.091575340417836,0.0009954872551343197,-0.09248140075358902,0.693096018735363,0.18285382055926624,,,True,4.96,2135
mainline-neutral,disinfo-result,-1.2039594542933139,0.11430262511023637,-0.034346730406614845,0.8799030303030304,0.20393690309066703,,,False,6.3,2475
mainline-neutral,intervention-clicks,,,,,,0.0008080808080808081,0.0011194902678978613,,0.08,2475
mainline-neutral,news-result,-0.8283366517573819,0.20373993571786708,-0.02362399106610147,0.9561109247456111,0.10713706440994775,,,False,21.21,2475
mainline-neutral,no-result,0.42973661215624065,0.3336936237603747,0.01225613052218133,1.014764073601749,0.07015557747683054,,,False,41.45,2475
mainline-neutral,other-result,0.9381064795383162,0.1740948461403049,0.026756737261762753,1.0413053613053613,0.09190936427922614,,,False,31.03,2475
mainline-refutation,disinfo-result,-1.8746690035231954,0.030419136846382866,-0.05367532135030978,0.8154738562091504,0.1943037971833581,,,False,5.84,2448
mainline-refutation,intervention-clicks,,,,,,0.0,0.0,,0.0,2448
mainline-refutation,news-result,-0.6611578054791996,0.25425555878840633,-0.01890815620645847,0.9648150157972167,0.1080964647073751,,,False,21.41,2448
mainline-refutation,no-result,0.2601159223543323,0.3973871781479147,0.007438746013855413,1.0089570480830943,0.07012407820186661,,,False,41.22,2448
mainline-refutation,other-result,1.3168512836967314,0.09394423937689111,0.03766264656574969,1.0582736299648063,0.0931136463925255,,,False,31.54,2448
mainline-warning,disinfo-result,0.4291252429324373,0.33391604144229725,0.012292571303625488,1.0447039473684212,0.23100542358689857,,,False,7.48,2432
mainline-warning,intervention-clicks,,,,,,0.0,0.0,,0.0,2432
mainline-warning,news-result,-2.028373697547199,0.021261061230495093,-0.058125431767650726,0.8933212152845212,0.10299047198538835,,,False,19.82,2432
mainline-warning,no-result,0.5684182318208475,0.284875506761046,0.01628229521580149,1.0196210677934816,0.07065920238838719,,,False,41.65,2432
mainline-warning,other-result,0.9447024493482181,0.1724054031122877,0.027061610715210183,1.0417786880060729,0.09234370393100289,,,False,31.04,2432
news,disinfo-result,-0.2767329936477065,0.3909925677913071,-0.008029238207108658,0.9712878133102852,0.22260269477708727,,,False,6.96,2314
news,intervention-clicks,,,,,,0.08038029386343994,0.011077794982133085,,8.04,2314
news,news-result,-2.6253297949498537,0.004328253808156601,-0.07626119877107218,0.8609602388158712,0.10204593982239385,,,False,19.1,2314
news,no-result,-0.2517639481696115,0.4006117625220471,-0.0073034143336045965,0.9912179588217056,0.07046597566511759,,,False,40.49,2314
news,other-result,2.7063931028289763,0.0034009238436963907,0.07850457060235927,1.1224569510005984,0.09800726507807744,,,False,33.45,2314
sidebar-neutral,disinfo-result,-0.4857357638682059,0.31357726166763933,-0.01390639351746581,0.9505168170631666,0.21604137775933774,,,False,6.81,2438
sidebar-neutral,intervention-clicks,,,,,,0.0016406890894175555,0.0016065557544256974,,0.16,2438
sidebar-neutral,news-result,-0.34219869008575565,0.366100685474846,-0.009796247696993055,0.9817140357621789,0.10945886298594643,,,False,21.78,2438
sidebar-neutral,no-result,0.5542598250730998,0.28970052038240945,0.01586695465161725,1.019119864010219,0.07059531028321331,,,False,41.63,2438
sidebar-neutral,other-result,-0.0159791843265358,0.49362549903846187,-0.000457436144122525,0.9992979743800088,0.08989621926154578,,,False,29.78,2438
sidebar-refutation,disinfo-result,-1.3916426222452434,0.08201532264414135,-0.039963684915450326,0.8609437086092716,0.20237475296306584,,,False,6.17,2416
sidebar-refutation,intervention-clicks,,,,,,0.0016556291390728477,0.0016211728570494817,,0.17,2416
sidebar-refutation,news-result,0.44909056536636943,0.326683163048726,0.012885279722912424,1.0242349588230981,0.11283840846786597,,,False,22.72,2416
sidebar-refutation,no-result,0.03022153038596528,0.4879451888038775,0.0008671206415360455,1.0010434776838444,0.07005171536339216,,,False,40.89,2416
sidebar-refutation,other-result,0.3162213037446901,0.375917269364885,0.0090730215001118,1.0139534513499746,0.09093620447194795,,,False,30.22,2416
sidebar-warning,disinfo-result,-1.325935918414904,0.09243046215042328,-0.03828053755900607,0.8666047297297298,0.20451178188487396,,,False,6.21,2368
sidebar-warning,intervention-clicks,,,,,,0.001266891891891892,0.0014327147240748251,,0.13,2368
sidebar-warning,news-result,-1.406163399896766,0.07983780480580449,-0.040566754155471285,0.9250788496060636,0.10613878000171995,,,False,20.52,2368
sidebar-warning,no-result,1.6507419163481658,0.049395642442100596,0.047606081567210135,1.0575157917185722,0.07260940983616448,,,False,43.2,2368
sidebar-warning,other-result,0.2030356357539587,0.4195535894762854,0.005855037192082024,1.0089981808731807,0.09113503591604655,,,False,30.07,2368
strong-downranking,news-result,-1.5155043414764506,0.06482236585474244,-0.04781010640612493,0.9119279105834537,0.11582066716600692,,,False,20.23,1725
strong-downranking,no-result,1.8787237771918814,0.030141109723484272,0.05904573574494165,1.0713978682001684,0.07961703847404777,,,False,43.77,1725
strong-downranking,other-result,1.793888029176877,0.03641552125777259,0.05631477883943403,1.087463768115942,0.10405026134415829,,,False,32.41,1725
weak-downranking,news-result,-0.8308731816710274,0.20302263764641004,-0.024631197611740374,0.9542556409170649,0.11151513562607873,,,False,21.17,2135
weak-downranking,no-result,1.4685078221800771,0.07098316652463266,0.043499673087968205,1.052537862610467,0.07437807723839751,,,False,43.0,2135
weak-downranking,other-result,0.7837821739829193,0.21658396768826527,0.023213597102181183,1.0358088632678795,0.0952211994963652,,,False,30.87,2135
